time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-20T04:04:45.380Z,38.8076668,-122.8133316,1.23,0.55,md,7,125,0.01244,0.02,nc,nc72637945,2016-05-20T04:20:04.516Z,"5km NW of The Geysers, California",earthquake,0.55,0.97,,1,automatic,nc,nc
2016-05-20T04:01:44.990Z,33.9705,-117.231,11.55,0.95,ml,18,100,0.0536,0.13,ci,ci37571216,2016-05-20T04:06:15.767Z,"5km N of Moreno Valley, CA",earthquake,0.29,0.33,0.365,25,automatic,ci,ci
2016-05-20T03:34:15.740Z,38.8390007,-122.8286667,2.19,1.15,md,10,131,0.005342,0.01,nc,nc72637935,2016-05-20T04:55:02.587Z,"9km WNW of Cobb, California",earthquake,0.37,0.89,0.7,3,automatic,nc,nc
2016-05-20T03:24:32.720Z,34.437,-116.4921667,1.01,1.93,ml,45,57,0.1221,0.19,ci,ci37571208,2016-05-20T04:19:14.790Z,"36km N of Yucca Valley, CA",earthquake,0.21,0.43,0.118,26,automatic,ci,ci
2016-05-20T03:08:49.240Z,38.8059998,-122.7808304,-0.63,1.03,md,14,80,0.01148,0.04,nc,nc72637930,2016-05-20T04:35:03.548Z,"3km NNW of The Geysers, California",earthquake,0.18,1.03,0.27,4,automatic,nc,nc
2016-05-20T03:05:28.250Z,36.5994987,-120.7525024,7.91,1.96,md,13,225,0.4232,0.3,nc,nc72637925,2016-05-20T04:08:03.478Z,"37km WSW of Mendota, California",earthquake,5.4,10.81,0.16,2,automatic,nc,nc
2016-05-20T03:04:44.190Z,40.6572,-119.4999,8.9,1.4,ml,7,148.48,0.055,0.188,nn,nn00544880,2016-05-20T03:53:38.124Z,"13km NW of Gerlach-Empire, Nevada",earthquake,,2.6,0.23,5,reviewed,nn,nn
2016-05-20T03:02:09.242Z,39.5715,-115.8648,3.8,1.7,ml,6,140.21,0.961,0.1629,nn,nn00544879,2016-05-20T03:56:47.970Z,"10km NE of Eureka, Nevada",earthquake,,6.2,0.19,5,reviewed,nn,nn
2016-05-20T02:46:47.260Z,33.1818333,-116.0408333,2.26,1.49,ml,37,53,0.1791,0.27,ci,ci37571192,2016-05-20T02:57:54.650Z,"10km ENE of Ocotillo Wells, CA",earthquake,0.38,0.99,0.179,27,automatic,ci,ci
2016-05-20T02:46:07.920Z,38.7638321,-122.7306671,1.79,1.39,md,8,123,0.0141,0.02,nc,nc72637920,2016-05-20T03:43:02.425Z,"2km SE of The Geysers, California",earthquake,0.4,0.76,0.17,4,automatic,nc,nc
2016-05-20T02:32:01.000Z,61.6667,-151.4025,66,2,ml,,,,0.49,ak,ak13594592,2016-05-20T03:40:38.184Z,"72km W of Willow, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-05-20T02:31:29.300Z,19.3104,-65.5931,33,3.6,Md,19,255.6,1.0402491,0.6,pr,pr16141000,2016-05-20T02:56:21.851Z,"101km NNE of Vieques, Puerto Rico",earthquake,3.7,27,0,16,reviewed,pr,pr
2016-05-20T02:16:04.100Z,36.4789,-98.7281,8.39,3,mb_lg,,44,0.011,0.58,us,us10005ipq,2016-05-20T02:48:16.448Z,"32km NW of Fairview, Oklahoma",earthquake,1.5,4.9,0.06,72,reviewed,us,us
2016-05-20T02:15:32.000Z,63.3618,-152.6879,16,0.9,ml,,,,0.42,ak,ak13594591,2016-05-20T03:40:40.069Z,"153km ENE of McGrath, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-05-20T02:06:06.000Z,62.1756,-145.5683,24.4,1.4,ml,,,,0.64,ak,ak13594589,2016-05-20T03:40:39.233Z,"7km N of Glennallen, Alaska",earthquake,0.3,0.2,,,automatic,ak,ak
2016-05-20T01:41:54.000Z,65.2646,-151.0437,12.6,1.2,ml,,,,0.81,ak,ak13594587,2016-05-20T02:38:54.993Z,"35km NNW of Manley Hot Springs, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
