time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-03T02:40:07.150Z,38.8160019,-122.82267,3.28,0.88,md,6,119,0.008752,0.02,nc,nc72630020,2016-05-03T02:41:43.669Z,"7km NW of The Geysers, California",earthquake,0.96,1.72,,1,automatic,nc,nc
2016-05-03T02:35:00.260Z,-55.9167,-143.9272,10,5.2,mb,,159,27.693,0.69,us,us10005d7k,2016-05-03T02:46:07.563Z,"Pacific-Antarctic Ridge",earthquake,7.8,1.9,0.088,43,reviewed,us,us
2016-05-03T02:32:04.000Z,64.6723,-150.6706,13.9,1.1,ml,,,,0.49,ak,ak13510798,2016-05-03T02:45:02.888Z,"36km S of Manley Hot Springs, Alaska",earthquake,0.7,0.3,,,automatic,ak,ak
2016-05-03T02:29:37.090Z,47.4648333,-121.6838333,16.69,1.64,ml,8,197,0.06584,0.08,uw,uw61149116,2016-05-03T02:49:04.490Z,"4km ESE of Tanner, Washington",earthquake,0.82,0.58,0.212,34,reviewed,uw,uw
2016-05-03T02:29:08.080Z,38.8059998,-122.7878342,-0.18,0.87,md,12,76,0.006158,0.03,nc,nc72630015,2016-05-03T02:30:48.309Z,"4km NW of The Geysers, California",earthquake,0.33,0.41,0.01,3,automatic,nc,nc
2016-05-03T02:28:21.590Z,38.8036652,-122.7819977,-0.4,1.05,md,16,51,0.009635,0.04,nc,nc72630010,2016-05-03T02:48:01.316Z,"3km NW of The Geysers, California",earthquake,0.19,0.54,0.06,5,automatic,nc,nc
2016-05-03T02:23:29.240Z,35.9938316,-120.5581665,2.58,1.2,md,21,70,0.0234,0.08,nc,nc72630005,2016-05-03T02:41:02.303Z,"24km SW of Coalinga, California",earthquake,0.31,0.62,0.14,8,automatic,nc,nc
2016-05-03T02:14:16.040Z,38.8395004,-122.7978363,2.82,0.89,md,9,151,0.005952,0.03,nc,nc72630000,2016-05-03T02:36:02.292Z,"6km WNW of Cobb, California",earthquake,0.72,1.87,,1,automatic,nc,nc
2016-05-03T02:11:22.090Z,33.8435,-116.9536667,16.66,0.92,ml,21,77,0.1305,0.12,ci,ci37338943,2016-05-03T02:41:08.738Z,"7km N of San Jacinto, CA",earthquake,0.2,0.57,0.177,12,reviewed,ci,ci
2016-05-03T02:06:38.240Z,32.0731667,-115.1181667,5.94,2.61,ml,13,259,0.2318,0.42,ci,ci37338935,2016-05-03T02:55:00.812Z,"17km SW of Estacion Coahuila, B.C., MX",earthquake,2.01,31.61,0.214,34,reviewed,ci,ci
