time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-05T01:45:50.590Z,33.0061667,-116.339,8.84,1.02,ml,19,101,0.1337,0.22,ci,ci37559800,2016-05-05T01:49:46.228Z,"25km SW of Ocotillo Wells, CA",earthquake,0.36,1.77,0.171,23,automatic,ci,ci
2016-05-05T01:45:12.780Z,40.6417,-119.4483,4.6,1.5,ml,6,151.99,0.759,,nn,nn00542883,2016-05-05T01:46:44.358Z,"8km NW of Gerlach-Empire, Nevada",earthquake,,,,,automatic,nn,nn
2016-05-05T01:34:26.710Z,37.6321678,-118.8833313,5.29,1.18,md,20,83,0.01624,0.04,nc,nc72630950,2016-05-05T01:36:10.896Z,"8km ESE of Mammoth Lakes, California",earthquake,0.3,0.41,0.15,17,automatic,nc,nc
2016-05-05T01:15:47.020Z,35.456501,-120.9319992,0.91,1,md,9,150,0.0384,0.07,nc,nc72630945,2016-05-05T01:43:03.144Z,"3km WNW of Cayucos, California",earthquake,0.51,1.04,0.11,7,automatic,nc,nc
2016-05-05T01:12:38.000Z,65.3837,-144.7508,0,1.5,ml,,,,0.73,ak,ak13515482,2016-05-05T01:36:52.249Z,"10km SSW of Circle Hot Springs Station, Alaska",earthquake,0.7,0.5,,,automatic,ak,ak
2016-05-05T01:08:49.000Z,61.0316,-152.3953,112.9,2.3,ml,,,,0.36,ak,ak13515478,2016-05-05T01:36:48.873Z,"63km NNE of Redoubt Volcano, Alaska",earthquake,0.5,0.6,,,automatic,ak,ak
2016-05-05T01:02:26.250Z,33.0433333,-116.4375,5.17,0.86,ml,15,140,0.1395,0.18,ci,ci37559792,2016-05-05T01:07:09.043Z,"16km ESE of Julian, CA",earthquake,0.45,3.64,0.089,16,automatic,ci,ci
2016-05-05T00:55:44.430Z,38.8268318,-122.7809982,1.33,1,md,18,49,0.00939,0.02,nc,nc72630940,2016-05-05T01:21:04.876Z,"5km W of Cobb, California",earthquake,0.2,0.38,0.04,4,automatic,nc,nc
2016-05-05T00:12:04.900Z,35.5568333,-118.3335,1.92,1.31,ml,22,100,0.1388,0.12,ci,ci37559664,2016-05-05T00:37:34.680Z,"14km ESE of Lake Isabella, CA",earthquake,0.18,0.42,0.162,16,reviewed,ci,ci
2016-05-05T00:11:13.080Z,35.5548333,-118.3355,2.72,1.1,ml,15,92,0.1406,0.11,ci,ci37559656,2016-05-05T00:19:59.305Z,"14km ESE of Lake Isabella, CA",earthquake,0.24,0.92,0.126,11,reviewed,ci,ci
2016-05-04T23:54:10.970Z,33.2181667,-116.7523333,18.6,1.45,ml,41,44,0.01856,0.14,ci,ci37559648,2016-05-05T00:14:19.190Z,"3km SSE of Lake Henshaw, CA",earthquake,0.2,0.38,0.182,25,reviewed,ci,ci
2016-05-04T23:36:47.580Z,38.7993317,-122.7914963,3.14,1.08,md,15,65,0.00675,0.03,nc,nc72630935,2016-05-05T00:04:03.076Z,"3km NW of The Geysers, California",earthquake,0.33,0.67,0.2,4,automatic,nc,nc
2016-05-04T23:31:57.480Z,35.0401667,-117.6726667,-0.8,2.05,ml,10,78,0.1073,0.15,ci,ci37559640,2016-05-05T00:27:38.436Z,"5km NNW of Boron, CA",quarry blast,0.46,31.61,0.161,17,reviewed,ci,ci
2016-05-04T23:22:59.901Z,40.6254,-119.4657,8.3,1.2,ml,4,313.88,0.734,0.0426,nn,nn00542876,2016-05-04T23:54:45.006Z,"8km NW of Gerlach-Empire, Nevada",earthquake,,5.1,0.04,2,reviewed,nn,nn
2016-05-04T23:22:26.180Z,46.1306667,-122.8486667,-0.47,1.46,ml,11,125,0.07516,0.13,uw,uw61149906,2016-05-05T01:13:48.410Z,"4km ESE of Kelso, Washington",explosion,0.84,31.61,0.212,23,reviewed,uw,uw
2016-05-04T23:15:20.520Z,49.4528333,-120.5248333,-0.53,2.05,ml,9,228,0.6089,0.52,uw,uw61149901,2016-05-05T01:15:23.470Z,"1km WSW of Princeton, Canada",explosion,5.06,31.61,0.203,6,reviewed,uw,uw
2016-05-04T23:15:12.760Z,40.6288,-119.4638,0,1.1,ml,4,314.06,0.738,0.2018,nn,nn00542880,2016-05-05T00:03:58.220Z,"8km NW of Gerlach-Empire, Nevada",earthquake,,0,0.1,2,reviewed,nn,nn
2016-05-04T23:14:28.000Z,63.0748,-151.4704,7.8,1,ml,,,,0.41,ak,ak13515204,2016-05-05T00:50:53.647Z,"108km NW of Talkeetna, Alaska",earthquake,2,1.8,,,reviewed,ak,ak
2016-05-04T23:13:23.000Z,63.2388,-151.1098,0,1.6,ml,,,,0.53,ak,ak13515202,2016-05-04T23:41:31.411Z,"109km W of Cantwell, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-05-04T22:57:36.910Z,33.9478333,-117.177,13.6,0.96,ml,22,111,0.003537,0.09,ci,ci37559616,2016-05-05T00:17:54.883Z,"5km ENE of Moreno Valley, CA",earthquake,0.18,0.31,0.15,14,reviewed,ci,ci
2016-05-04T22:55:48.869Z,40.6146,-119.4659,0,1.9,ml,8,105.58,0.699,0.1874,nn,nn00542872,2016-05-04T23:47:31.228Z,"8km WNW of Gerlach-Empire, Nevada",earthquake,,0,0.13,4,reviewed,nn,nn
2016-05-04T22:45:53.750Z,33.9551667,-117.1711667,13.69,0.95,ml,15,178,0.06355,0.07,ci,ci37559608,2016-05-05T00:25:00.702Z,"6km ENE of Moreno Valley, CA",earthquake,0.37,0.34,0.27,7,reviewed,ci,ci
2016-05-04T22:39:34.950Z,33.977,-117.2188333,12.87,1.08,ml,33,89,0.04835,0.12,ci,ci37559600,2016-05-05T00:30:44.438Z,"6km N of Moreno Valley, CA",earthquake,0.17,0.32,0.152,13,reviewed,ci,ci
2016-05-04T22:39:33.880Z,-15.8706,-71.6291,142.45,4.1,mb,,126,2.774,0.91,us,us10005dxp,2016-05-04T23:22:02.642Z,"21km WSW of Huarancante, Peru",earthquake,6.1,10.6,0.12,19,reviewed,us,us
2016-05-04T22:21:11.860Z,34.029,-118.4781667,11.99,1.3,ml,11,222,0.02738,0.17,ci,ci37140020,2016-05-05T00:17:37.502Z,"2km NE of Santa Monica, CA",earthquake,0.62,0.58,0.354,11,reviewed,ci,ci
2016-05-04T22:20:41.270Z,36.0321667,-117.776,1.83,0.34,ml,8,132,0.01113,0.07,ci,ci37559568,2016-05-05T00:10:08.058Z,"16km E of Coso Junction, CA",earthquake,0.22,0.15,0.566,7,reviewed,ci,ci
2016-05-04T22:14:57.540Z,33.7518333,-116.0346667,2.32,1.14,ml,27,91,0.1033,0.16,ci,ci37559552,2016-05-05T00:00:12.789Z,"15km ENE of Coachella, CA",earthquake,0.23,0.47,0.118,24,reviewed,ci,ci
2016-05-04T21:35:24.184Z,40.6248,-119.5037,1.9,1.4,ml,6,199.23,0.673,0.2351,nn,nn00542863,2016-05-04T23:14:36.976Z,"11km WNW of Gerlach-Empire, Nevada",earthquake,,10.6,0.28,4,reviewed,nn,nn
2016-05-04T21:20:10.760Z,38.8348351,-122.7908325,1.84,1.14,md,8,188,0.003589,0,nc,nc72630915,2016-05-05T00:37:01.600Z,"6km WNW of Cobb, California",earthquake,0.72,0.65,0.08,2,automatic,nc,nc
2016-05-04T21:02:43.290Z,35.9188333,-120.4711667,4.42,0.42,md,25,86,0.02087,0.06,nc,nc72630900,2016-05-05T01:31:01.741Z,"26km SSW of Coalinga, California",earthquake,0.31,0.51,0.16,8,reviewed,nc,nc
2016-05-04T20:17:45.000Z,60.2935,-152.2413,91.1,1.9,ml,,,,0.63,ak,ak13514664,2016-05-04T20:58:33.990Z,"34km SE of Redoubt Volcano, Alaska",earthquake,0.4,0.6,,,automatic,ak,ak
