time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-19T03:52:42.590Z,38.8129997,-122.8164978,2.37,1.77,md,31,79,0.01073,0.04,nc,nc72624110,2016-04-19T03:54:23.308Z,"6km NW of The Geysers, California",earthquake,0.2,0.34,0.03,9,automatic,nc,nc
2016-04-19T03:41:31.920Z,32.7085,-115.401,10.92,2.21,ml,21,105,0.08508,0.25,ci,ci37551088,2016-04-19T03:51:20.613Z,"9km NE of Mexicali, B.C., MX",earthquake,0.67,1.13,0.146,26,automatic,ci,ci
2016-04-19T03:30:46.610Z,38.8146667,-122.8178329,2.19,1.35,md,21,82,0.01059,0.03,nc,nc72624070,2016-04-19T03:47:05.411Z,"6km NW of The Geysers, California",earthquake,0.24,0.36,0.19,5,automatic,nc,nc
2016-04-19T03:25:27.650Z,35.6118333,-117.4341667,5.35,1.07,ml,14,97,0.03407,0.17,ci,ci37551072,2016-04-19T03:30:12.145Z,"18km S of Searles Valley, CA",earthquake,0.4,0.7,0.186,14,automatic,ci,ci
2016-04-19T03:06:50.020Z,33.2098333,-116.6983333,6.89,1.21,ml,41,36,0.04412,0.15,ci,ci37551064,2016-04-19T03:17:38.420Z,"7km ESE of Lake Henshaw, CA",earthquake,0.19,0.57,0.137,25,automatic,ci,ci
2016-04-19T03:03:03.000Z,63.2521,-151.3239,0,1.1,ml,,,,0.61,ak,ak13486216,2016-04-19T03:30:14.434Z,"119km W of Cantwell, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-04-19T02:47:01.890Z,26.5311,130.2525,36.77,5.1,mb,,60,1.797,1.03,us,us20005jpl,2016-04-19T03:05:24.090Z,"217km SSE of Naze, Japan",earthquake,3.8,5.6,0.035,258,reviewed,us,us
2016-04-19T02:42:05.000Z,62.8519,-143.7492,8.3,1.1,ml,,,,0.33,ak,ak13486208,2016-04-19T03:30:13.306Z,"66km SW of Tok, Alaska",earthquake,0.3,0.8,,,automatic,ak,ak
2016-04-19T02:37:18.630Z,33.4681667,-116.4861667,5.45,0.84,ml,28,80,0.07475,0.23,ci,ci37551056,2016-04-19T02:42:05.715Z,"20km ESE of Anza, CA",earthquake,0.29,1.08,0.104,27,automatic,ci,ci
2016-04-19T02:31:58.590Z,33.6978333,-116.7213333,-0.1,0.44,ml,9,240,0.1098,0.3,ci,ci37551048,2016-04-19T02:36:39.214Z,"5km S of Idyllwild, CA",earthquake,1.62,31.61,0.106,9,automatic,ci,ci
2016-04-19T02:25:58.970Z,47.7895,-120.76,9.25,1.53,ml,7,187,0.1066,0.08,uw,uw61128027,2016-04-19T02:37:59.490Z,"22km NNW of Leavenworth, Washington",earthquake,0.85,1.3,0.222,16,reviewed,uw,uw
2016-04-19T02:03:31.110Z,46.6106667,-119.8463333,6.63,0.89,ml,8,134,0.05251,0.05,uw,uw61128022,2016-04-19T02:28:30.070Z,"9km SE of Desert Aire, Washington",earthquake,0.25,0.58,0.085,4,reviewed,uw,uw
2016-04-19T02:03:15.430Z,-0.3374,-80.7592,10,4.9,mb,,141,2.211,1.47,us,us20005jpe,2016-04-19T02:20:07.128Z,"47km NW of Bahia de Caraquez, Ecuador",earthquake,6.5,1.9,0.028,413,reviewed,us,us
