time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-03T05:36:44.950Z,34.0716667,-117.2695,16.4,0.8,ml,18,100,0.1176,0.18,ci,ci37368295,2016-06-03T05:42:21.280Z,"3km NNW of Loma Linda, CA",earthquake,0.52,1.13,0.345,17,automatic,ci,ci
2016-06-03T05:35:11.330Z,51.401,178.4669,100.7,4,mb,,219,2.767,0.74,us,us200061mf,2016-06-03T05:52:47.654Z,"60km S of Little Sitkin Island, Alaska",earthquake,13.8,14.1,0.077,45,reviewed,us,us
2016-06-03T05:28:32.050Z,39.5408325,-121.9779968,4.8,1.76,md,5,117,0.2868,0.16,nc,nc72645011,2016-06-03T05:44:02.947Z,"18km E of Willows, California",earthquake,0.73,13.55,0.11,5,automatic,nc,nc
2016-06-03T04:58:52.000Z,61.5529,-146.481,30.7,1.3,ml,,,,0.71,ak,ak13628371,2016-06-03T05:16:20.323Z,"47km N of Valdez, Alaska",earthquake,0.4,0.2,,,automatic,ak,ak
2016-06-03T04:54:50.000Z,61.6019,-146.9533,81.1,1.2,ml,,,,0.87,ak,ak13628370,2016-06-03T05:16:22.138Z,"61km NNW of Valdez, Alaska",earthquake,0.8,1.1,,,automatic,ak,ak
2016-06-03T04:43:45.000Z,60.1584,-150.5203,37.3,1.5,ml,,,,0.38,ak,ak13628367,2016-06-03T05:16:21.489Z,"44km SSE of Sterling, Alaska",earthquake,0.4,1.6,,,automatic,ak,ak
2016-06-03T04:34:39.000Z,33.3691667,-116.4098333,3,0.37,ml,13,148,0.1009,0.17,ci,ci37368119,2016-06-03T04:39:42.406Z,"13km NNW of Borrego Springs, CA",earthquake,0.45,1.61,0.121,7,automatic,ci,ci
2016-06-03T04:27:00.000Z,60.94,-151.3149,45.9,1.2,ml,,,,0.74,ak,ak13628364,2016-06-03T04:47:40.006Z,"27km N of Nikiski, Alaska",earthquake,0.5,1.5,,,automatic,ak,ak
2016-06-03T04:12:26.620Z,-16.927,-70.3823,47.7,4.5,mb,,142,1.085,0.71,us,us200061m7,2016-06-03T04:43:18.395Z,"25km N of Pujocucho, Peru",earthquake,8.2,12.7,0.14,15,reviewed,us,us
2016-06-03T04:07:55.000Z,63.4372,-153.0422,5.3,1.8,ml,,,,0.48,ak,ak13627989,2016-06-03T04:47:37.216Z,"139km ENE of McGrath, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-06-03T04:06:17.360Z,38.3668,-117.9238,7,1,ml,5,190.77,0.198,,nn,nn00546429,2016-06-03T04:08:29.141Z,"55km S of Gabbs, Nevada",earthquake,,,,,automatic,nn,nn
2016-06-03T04:00:32.388Z,38.5743,-118.44,6.9,0.7,ml,6,121,0.084,0.1087,nn,nn00546428,2016-06-03T04:15:12.576Z,"17km ENE of Hawthorne, Nevada",earthquake,,4.6,0.19,4,reviewed,nn,nn
2016-06-03T03:57:47.830Z,38.8395004,-122.8253326,1.62,0.67,md,14,91,0.007982,0.02,nc,nc72644981,2016-06-03T04:13:02.744Z,"9km WNW of Cobb, California",earthquake,0.31,0.43,0.22,3,automatic,nc,nc
