time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-30T00:34:03.690Z,33.1881667,-115.6098333,1.61,1.02,ml,14,113,0.01173,0.18,ci,ci37578288,2016-05-30T00:37:42.233Z,"10km SW of Niland, CA",earthquake,0.3,0.36,0.205,19,automatic,ci,ci
2016-05-30T00:19:33.560Z,33.7013333,-116.7546667,15.26,1.89,ml,71,38,0.03516,0.19,ci,ci37578280,2016-05-30T00:33:20.954Z,"5km SW of Idyllwild, CA",earthquake,0.17,0.37,0.228,26,automatic,ci,ci
2016-05-30T00:10:39.430Z,34.5603,25.5307,41.58,4.1,mb,,72,0.896,0.8,us,us20005z42,2016-05-30T00:45:57.996Z,"52km SSW of Gra Liyia, Greece",earthquake,2.9,8.9,0.079,44,reviewed,us,us
2016-05-30T00:04:04.000Z,59.8548,-148.9827,0,2.6,ml,,,,0.7,ak,ak13612859,2016-05-30T00:21:38.868Z,"37km SE of Seward, Alaska",earthquake,0.4,0.2,,,automatic,ak,ak
2016-05-30T00:00:14.340Z,33.9083333,-117.2301667,11.64,1.08,ml,14,104,0.05096,0.33,ci,ci37578272,2016-05-30T00:03:58.460Z,"2km S of Moreno Valley, CA",earthquake,1.07,1.61,0.419,21,automatic,ci,ci
2016-05-29T23:57:16.560Z,38.8243332,-122.824501,0.56,0.56,md,12,68,0.008314,0.03,nc,nc72643096,2016-05-30T00:27:18.163Z,"7km NW of The Geysers, California",earthquake,0.25,0.61,,1,automatic,nc,nc
2016-05-29T23:53:15.440Z,34.8265,-117.0186667,1.86,1.9,ml,37,69,0.05192,0.17,ci,ci37578264,2016-05-30T00:04:39.560Z,"8km S of Barstow, CA",earthquake,0.19,0.64,0.145,26,automatic,ci,ci
2016-05-29T23:49:37.000Z,61.8913,-150.4412,0,3.3,ml,,,,0.78,ak,ak13612847,2016-05-30T00:21:48.687Z,"26km NW of Willow, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-05-29T23:47:09.580Z,35.6905,-97.3951,5,2.5,mb_lg,,34,0.111,0.95,us,us20005z3n,2016-05-30T00:29:53.616Z,"8km ENE of Edmond, Oklahoma",earthquake,0.8,1.9,0.078,43,reviewed,us,us
2016-05-29T23:46:43.890Z,36.8623,-116.0878,9.6,0.7,ml,15,97.02,0.081,,nn,nn00545970,2016-05-29T23:48:31.694Z,"60km E of Beatty, Nevada",earthquake,,,,,automatic,nn,nn
2016-05-29T23:43:02.000Z,62.3493,-149.7971,9.3,1.9,ml,,,,0.8,ak,ak13612845,2016-05-29T23:59:34.365Z,"16km E of Talkeetna, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
