time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-13T01:32:50.000Z,57.1064,-157.932,0,3.8,ml,,,,0.61,ak,ak13429646,2016-04-13T01:50:09.000Z,"107km NNE of Chignik Lake, Alaska",earthquake,0.5,0.4,,,automatic,ak,ak
2016-04-13T01:29:52.000Z,61.4464,-147.4281,13.9,1.7,ml,,,,1.45,ak,ak13429645,2016-04-13T01:49:19.816Z,"67km WNW of Valdez, Alaska",earthquake,0.7,0.7,,,automatic,ak,ak
2016-04-13T01:24:34.410Z,39.1275,-119.0053,9,1.2,ml,6,147.75,0.532,,nn,nn00540355,2016-04-13T01:25:48.669Z,"20km NE of Yerington, Nevada",earthquake,,,,,automatic,nn,nn
2016-04-13T01:23:13.620Z,38.8231659,-122.8241653,0.04,0.56,md,6,146,0.008487,0.01,nc,nc72621400,2016-04-13T01:33:08.517Z,"7km NW of The Geysers, California",earthquake,0.5,0.88,,1,automatic,nc,nc
2016-04-13T01:21:39.000Z,63.075,-151.4182,11,1.4,ml,,,,0.54,ak,ak13429413,2016-04-13T01:32:49.338Z,"107km NW of Talkeetna, Alaska",earthquake,0.4,0.3,,,automatic,ak,ak
2016-04-13T01:12:21.390Z,33.8791667,-116.8123333,15.36,0.65,ml,21,72,0.04713,0.22,ci,ci37548896,2016-04-13T01:17:02.242Z,"5km SSW of Cabazon, CA",earthquake,0.44,1.01,0.165,21,automatic,ci,ci
2016-04-13T00:23:56.290Z,11.3726,140.9181,58.2,4.7,mb,,83,4.442,0.75,us,us20005hnj,2016-04-13T01:56:41.703Z,"182km NNE of Fais, Micronesia",earthquake,9.9,7.3,0.064,75,reviewed,us,us
2016-04-13T00:00:54.570Z,38.8236656,-122.8248367,0.47,0.43,md,7,89,0.007981,0.01,nc,nc72621390,2016-04-13T00:19:05.157Z,"7km NW of The Geysers, California",earthquake,0.34,0.98,0.14,2,automatic,nc,nc
2016-04-12T23:58:39.760Z,51.9908,-30.1508,10,4.6,mb,,133,13.584,0.79,us,us20005hnk,2016-04-13T01:49:09.372Z,"Northern Mid-Atlantic Ridge",earthquake,12,1.9,0.066,69,reviewed,us,us
2016-04-12T23:50:09.710Z,33.479,-116.4818333,6.98,0.51,ml,13,252,0.08841,0.12,ci,ci37548888,2016-04-13T00:32:16.799Z,"20km ESE of Anza, CA",earthquake,0.6,0.78,0.076,7,reviewed,ci,ci
2016-04-12T23:47:29.550Z,38.8353348,-122.8071671,1.77,0.45,md,6,106,0.01214,0.01,nc,nc72621385,2016-04-13T00:50:07.083Z,"7km WNW of Cobb, California",earthquake,0.47,1.2,0.13,2,automatic,nc,nc
2016-04-12T23:40:52.310Z,11.3985,141.0642,35,4.6,mb,,93,4.306,0.92,us,us20005hnd,2016-04-13T01:36:27.827Z,"190km NNE of Fais, Micronesia",earthquake,6.2,2,0.07,60,reviewed,us,us
2016-04-12T23:32:09.250Z,35.9501667,-117.6533333,3.37,0.81,ml,16,57,0.003295,0.09,ci,ci37548872,2016-04-13T00:38:35.867Z,"23km E of Little Lake, CA",earthquake,0.15,0.31,0.194,7,reviewed,ci,ci
2016-04-12T23:27:53.190Z,11.4067,140.9785,35,4.9,mb,,84,4.374,0.64,us,us20005hnf,2016-04-13T01:28:56.862Z,"188km NNE of Fais, Micronesia",earthquake,11.5,2,0.069,66,reviewed,us,us
2016-04-12T23:23:01.920Z,11.3335,140.8555,35,5.1,mb,,83,4.515,1.15,us,us20005hn9,2016-04-12T23:41:57.808Z,"177km NNE of Fais, Micronesia",earthquake,10.4,2,0.046,193,reviewed,us,us
2016-04-12T23:05:14.980Z,33.5923333,-116.6103333,15.24,0.67,ml,22,96,0.01331,0.08,ci,ci37548856,2016-04-13T00:35:34.816Z,"7km NE of Anza, CA",earthquake,0.22,0.34,0.171,20,reviewed,ci,ci
2016-04-12T23:03:31.000Z,64.9669,-147.3826,0,1.5,ml,,,,0.74,ak,ak13429187,2016-04-12T23:26:54.472Z,"19km NNE of Badger, Alaska",earthquake,0.4,0.5,,,automatic,ak,ak
2016-04-12T23:03:10.190Z,38.8390007,-122.8280029,2.05,1.68,md,28,49,0.005859,0.04,nc,nc72621360,2016-04-12T23:55:05.105Z,"9km WNW of Cobb, California",earthquake,0.19,0.33,0.08,10,automatic,nc,nc
2016-04-12T23:02:30.320Z,35.0408325,-117.6778336,-0.84,1.3,ml,18,110,0.1073,0.19,ci,ci37548848,2016-04-12T23:05:02.813Z,"5km NNW of Boron, California",earthquake,0.55,0.85,0.092,6,automatic,ci,ci
2016-04-12T22:53:31.100Z,43.5338333,-110.395,7.3,1.22,ml,12,136,0.171,0.12,mb,mb80134309,2016-04-12T23:28:49.020Z,"30km ENE of Jackson, Wyoming",earthquake,1.08,3.18,0.151,8,reviewed,mb,mb
2016-04-12T22:51:28.120Z,45.5501667,-118.6036667,2.75,2.15,ml,9,99,0.361,0.21,uw,uw61141621,2016-04-13T00:21:19.990Z,"14km SSE of Mission, Oregon",earthquake,0.81,1.09,0.15,19,reviewed,uw,uw
2016-04-12T22:37:31.000Z,60.9768,-151.2613,75.6,1.4,ml,,,,0.38,ak,ak13429171,2016-04-12T23:11:43.344Z,"31km N of Nikiski, Alaska",earthquake,0.5,0.8,,,automatic,ak,ak
