time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-24T01:38:15.000Z,19.3796673,-155.2406616,3.35,2.34,ml,30,68,0.006068,0.17,hv,hv61239676,2016-04-24T01:43:57.780Z,"5km S of Volcano, Hawaii",earthquake,0.28,0.29,0.27,9,automatic,hv,hv
2016-04-24T01:14:55.165Z,40.6364,-119.4022,0,1.3,ml,6,191.52,0.764,0.3046,nn,nn00541627,2016-04-24T01:23:11.590Z,"6km NNW of Gerlach-Empire, Nevada",earthquake,,0,0.21,3,reviewed,nn,nn
2016-04-24T00:55:32.430Z,-21.3048,-70.6481,46.12,4.5,mb,,143,0.667,0.43,us,us20005laz,2016-04-24T01:16:46.320Z,"98km NNW of Tocopilla, Chile",earthquake,5.1,6.6,0.171,10,reviewed,us,us
2016-04-24T00:42:54.300Z,38.8216667,-122.8098297,2.44,1.6,md,30,71,0.001736,0.03,nc,nc72626725,2016-04-24T01:47:02.869Z,"6km NW of The Geysers, California",earthquake,0.21,0.36,0.14,8,automatic,nc,nc
2016-04-24T00:35:02.930Z,-24.188,-67.005,171.17,4.5,mb,,47,2.35,1.26,us,us20005lav,2016-04-24T00:54:49.482Z,"69km W of San Antonio de los Cobres, Argentina",earthquake,7.7,7.1,0.064,72,reviewed,us,us
2016-04-24T00:23:32.260Z,19.3845005,-155.276001,3.3,2.56,ml,37,45,0.00576,0.23,hv,hv61239636,2016-04-24T00:29:39.606Z,"6km SW of Volcano, Hawaii",earthquake,0.24,0.3,0.27,15,automatic,hv,hv
2016-04-24T00:15:21.000Z,64.5057,-150.3384,0.1,1.6,ml,,,,0.78,ak,ak13491990,2016-04-24T00:55:03.519Z,"56km SSE of Manley Hot Springs, Alaska",earthquake,0.2,0.3,,,automatic,ak,ak
2016-04-24T00:03:53.600Z,34.091,-117.209,3.59,1.49,ml,54,37,0.09321,0.21,ci,ci37335991,2016-04-24T01:11:30.725Z,"4km S of Highland, CA",earthquake,0.22,0.7,0.181,25,automatic,ci,ci
2016-04-23T23:47:23.350Z,37.5228348,-118.7835007,6.25,1.02,md,14,143,0.06042,0.01,nc,nc72626710,2016-04-24T01:21:04.812Z,"21km SE of Mammoth Lakes, California",earthquake,0.32,0.92,0.24,11,automatic,nc,nc
2016-04-23T23:34:50.000Z,62.8775,-151.2873,179.3,1.4,ml,,,,1.13,ak,ak13491987,2016-04-24T00:17:39.210Z,"86km NW of Talkeetna, Alaska",earthquake,2.3,2.6,,,automatic,ak,ak
2016-04-23T23:28:20.500Z,36.0205002,-120.5835037,2.16,0.7,md,8,142,0.03959,0.05,nc,nc72626700,2016-04-24T00:26:04.034Z,"24km WSW of Coalinga, California",earthquake,0.52,1.92,0.05,2,automatic,nc,nc
2016-04-23T23:11:07.740Z,-17.3063,-172.446,10,5.3,mb,,53,2.971,1.43,us,us20005la0,2016-04-23T23:31:34.626Z,"204km SE of Hihifo, Tonga",earthquake,7.3,0.9,0.053,120,reviewed,us,us
2016-04-23T23:10:30.000Z,64.9681,-147.4463,0,1.6,ml,,,,0.62,ak,ak13491882,2016-04-23T23:42:53.017Z,"19km NE of Fairbanks, Alaska",earthquake,0.2,0.3,,,automatic,ak,ak
2016-04-23T23:05:01.260Z,33.8853333,-116.1776667,8.82,1.59,ml,51,59,0.04017,0.21,ci,ci37335983,2016-04-24T01:10:19.139Z,"19km N of Indio, CA",earthquake,0.23,0.6,0.158,26,automatic,ci,ci
2016-04-23T23:02:57.640Z,51.743,-178.4754,10,4.3,mb,,191,0.828,1.19,us,us20005l9x,2016-04-24T01:32:17.632Z,"27km SW of Tanaga Volcano, Alaska",earthquake,8.6,1.9,0.057,88,reviewed,us,us
2016-04-23T23:02:17.590Z,36.3191681,-120.8793335,3.36,1.83,md,11,169,0.1208,0.02,nc,nc72626695,2016-04-24T00:01:01.836Z,"25km ENE of King City, California",earthquake,0.62,3.99,0.04,3,automatic,nc,nc
2016-04-23T22:59:31.100Z,38.7828331,-122.845665,14.4,0.82,md,7,183,0.02103,0.02,nc,nc72626690,2016-04-23T23:36:03.727Z,"7km W of The Geysers, California",earthquake,1.99,3.91,0.22,2,automatic,nc,nc
2016-04-23T22:46:22.000Z,61.8371,-151.516,86.8,1.9,ml,,,,0.68,ak,ak13491874,2016-04-23T23:42:51.956Z,"78km W of Willow, Alaska",earthquake,0.4,0.7,,,automatic,ak,ak
2016-04-23T22:32:42.700Z,36.2183,-97.5691,4.33,3.3,mb_lg,,23,0.133,0.43,us,us20005l9r,2016-04-23T22:42:29.865Z,"26km WSW of Perry, Oklahoma",earthquake,1.2,7.7,0.052,97,reviewed,us,us
2016-04-23T22:23:40.730Z,33.6418333,-116.7201667,14.26,1.23,ml,43,38,0.06041,0.15,ci,ci37335975,2016-04-24T01:10:16.676Z,"11km NNW of Anza, CA",earthquake,0.19,0.31,0.235,27,automatic,ci,ci
2016-04-23T22:19:21.510Z,38.8113327,-122.7923355,2.7,1.37,md,19,90,0.004082,0.02,nc,nc72626685,2016-04-23T23:09:03.648Z,"4km NW of The Geysers, California",earthquake,0.26,0.59,0.25,8,automatic,nc,nc
2016-04-23T22:19:05.790Z,33.6143333,-116.7096667,1.84,0.79,ml,17,120,0.05002,0.17,ci,ci37335967,2016-04-24T01:10:20.166Z,"7km NNW of Anza, CA",earthquake,0.37,0.64,0.201,23,automatic,ci,ci
2016-04-23T22:09:34.000Z,63.0776,-149.8712,82.5,1.6,ml,,,,0.62,ak,ak13491869,2016-04-23T23:03:53.813Z,"58km SW of Cantwell, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-04-23T22:02:13.940Z,33.2506667,-116.3718333,17.55,1.15,ml,22,229,0.04181,0.25,ci,ci37335959,2016-04-24T01:10:18.112Z,"1km SSE of Borrego Springs, CA",earthquake,1.62,1.67,0.189,25,automatic,ci,ci
2016-04-23T22:00:49.090Z,47.433,-122.8515,7.47,1.5,ml,8,258,0.1227,0.06,uw,uw61129982,2016-04-24T01:17:22.500Z,"2km SW of Belfair, Washington",earthquake,0.55,1.15,0.182,8,reviewed,uw,uw
2016-04-23T22:00:47.081Z,41.874,-119.635,8.2,2.7,ml,6,76.64,0.143,0.1624,nn,nn00541615,2016-04-23T22:31:52.820Z,"68km ESE of Lakeview, Oregon",earthquake,,3.9,0.41,5,reviewed,nn,nn
2016-04-23T21:54:49.510Z,38.7615013,-122.7393341,0.89,1.47,md,12,141,0.00966,0.03,nc,nc72626670,2016-04-23T22:43:02.571Z,"2km SE of The Geysers, California",earthquake,0.28,0.43,0.11,4,automatic,nc,nc
2016-04-23T21:24:57.270Z,-24.7309,-68.9842,94.99,4.4,mb,,57,0.698,1.43,us,us20005l97,2016-04-23T21:46:49.665Z,"168km ENE of Taltal, Chile",earthquake,7.3,7.2,0.127,18,reviewed,us,us
2016-04-23T21:23:43.380Z,-19.988,-69.3275,91.78,4.1,mb,,57,0.223,0.55,us,us20005l9a,2016-04-23T21:52:47.343Z,"89km ENE of Iquique, Chile",earthquake,4.4,4.5,0.302,3,reviewed,us,us
