time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-10T07:47:57.640Z,38.8148346,-122.8199997,0.79,1.07,md,14,80,0.01154,0.09,nc,nc72633200,2016-05-10T07:58:03.012Z,"6km NW of The Geysers, California",earthquake,0.29,0.48,0.06,5,automatic,nc,nc
2016-05-10T07:47:42.070Z,40.6698,-119.4175,5.2,1.5,ml,12,153.77,0.784,,nn,nn00543593,2016-05-10T07:49:50.927Z,"10km NNW of Gerlach-Empire, Nevada",earthquake,,,,,automatic,nn,nn
2016-05-10T07:36:40.650Z,33.9208333,-116.35,7.41,0.69,ml,17,131,0.05271,0.17,ci,ci37562952,2016-05-10T07:41:06.838Z,"12km NNE of Thousand Palms, CA",earthquake,0.53,0.82,0.24,7,automatic,ci,ci
2016-05-10T07:16:57.310Z,19.2451668,-155.4221649,34.63,1.81,md,34,95,0.02452,0.17,hv,hv61256591,2016-05-10T07:20:09.990Z,"7km NE of Pahala, Hawaii",earthquake,0.76,0.69,0.17,4,automatic,hv,hv
2016-05-10T07:16:46.890Z,38.8364983,-122.8259964,1.43,1.02,md,19,66,0.0077,0.03,nc,nc72633190,2016-05-10T07:49:01.995Z,"8km NW of The Geysers, California",earthquake,0.19,0.43,0.04,4,automatic,nc,nc
2016-05-10T07:07:46.000Z,63.5434,-150.7945,4.8,1.2,ml,,,,0.79,ak,ak13542644,2016-05-10T07:48:32.184Z,"93km WNW of Cantwell, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
2016-05-10T07:06:14.500Z,33.646,-116.782,-0.05,0.05,ml,8,93,0.08961,0.23,ci,ci37562944,2016-05-10T07:11:40.504Z,"12km SSW of Idyllwild, CA",earthquake,0.59,31.61,0.095,6,automatic,ci,ci
2016-05-10T07:05:04.020Z,33.4893333,-116.5876667,10.74,0.38,ml,21,72,0.01327,0.15,ci,ci37562936,2016-05-10T07:09:31.381Z,"11km SE of Anza, CA",earthquake,0.31,0.42,0.161,11,automatic,ci,ci
2016-05-10T07:04:28.450Z,43.6808,148.4819,49,4.4,mb,,171,4.254,0.54,us,us10005g91,2016-05-10T07:28:47.030Z,"142km E of Shikotan, Russia",earthquake,10.8,7.4,0.086,39,reviewed,us,us
2016-05-10T06:49:58.000Z,60.9658,-150.0184,36,1.4,ml,,,,0.46,ak,ak13542641,2016-05-10T07:11:27.581Z,"28km SSW of Anchorage, Alaska",earthquake,0.5,0.6,,,automatic,ak,ak
2016-05-10T06:45:04.140Z,33.0968333,-116.6103333,9.45,0.89,ml,27,84,0.01911,0.18,ci,ci37562928,2016-05-10T06:49:46.311Z,"2km NNW of Julian, CA",earthquake,0.32,0.55,0.135,22,automatic,ci,ci
2016-05-10T06:44:51.700Z,33.1063333,-116.6075,9.76,0.46,ml,7,99,0.02663,0.06,ci,ci37562920,2016-05-10T06:48:58.744Z,"3km N of Julian, CA",earthquake,0.35,0.37,0.197,4,automatic,ci,ci
2016-05-10T06:44:35.940Z,37.295,-115.173,7,1.2,ml,9,149.68,0.188,,nn,nn00543591,2016-05-10T06:46:09.347Z,"7km S of Alamo, Nevada",earthquake,,,,,automatic,nn,nn
2016-05-10T06:39:26.900Z,18.2609,-67.8837,96,3.3,Md,21,180,0.40334356,0.28,pr,pr16131001,2016-05-10T07:10:20.960Z,"65km ESE of Punta Cana, Dominican Republic",earthquake,1.9,1.3,0,16,reviewed,pr,pr
2016-05-10T06:26:46.240Z,40.3518333,-123.6696701,20.8,2.2,md,19,87,0.1373,0.1,nc,nc72633185,2016-05-10T07:23:01.940Z,"28km NNE of Redway, California",earthquake,0.43,0.41,0.13,10,automatic,nc,nc
2016-05-10T06:22:05.000Z,60.2031,-141.4222,0,1.2,ml,,,,0.84,ak,ak13542640,2016-05-10T07:11:23.914Z,"58km ENE of Cape Yakataga, Alaska",earthquake,0.5,56,,,automatic,ak,ak
2016-05-10T06:21:57.470Z,38.7938347,-122.7805023,3.44,0.52,md,10,87,0.005832,0.02,nc,nc72633180,2016-05-10T07:02:01.898Z,"2km NW of The Geysers, California",earthquake,0.4,0.96,0.03,3,automatic,nc,nc
2016-05-10T06:09:11.000Z,60.1854,-141.3252,0,1.4,ml,,,,0.62,ak,ak13542637,2016-05-10T06:34:09.176Z,"62km ENE of Cape Yakataga, Alaska",earthquake,0.8,187.1,,,automatic,ak,ak
2016-05-10T05:56:39.570Z,43.6355,148.4286,35.22,4.8,mb,,162,4.201,0.94,us,us10005g8s,2016-05-10T06:15:30.255Z,"138km E of Shikotan, Russia",earthquake,9.6,2,0.042,176,reviewed,us,us
2016-05-10T05:44:58.070Z,43.7916,148.3427,41.35,4.7,mb,,128,4.164,0.74,us,us10005g8p,2016-05-10T06:06:29.083Z,"130km E of Shikotan, Russia",earthquake,6.1,6.4,0.047,139,reviewed,us,us
2016-05-10T05:43:08.000Z,59.9801,-152.4694,47.9,1.5,ml,,,,0.76,ak,ak13542123,2016-05-10T06:34:05.873Z,"42km WNW of Anchor Point, Alaska",earthquake,2.1,2.5,,,automatic,ak,ak
2016-05-10T05:39:57.299Z,36.4998,-113.9889,5.8,1.8,ml,13,173.12,0.652,0.236,nn,nn00543585,2016-05-10T06:01:08.967Z,"32km SSE of Bunkerville, Nevada",earthquake,,4.4,0.23,9,reviewed,nn,nn
2016-05-10T05:24:03.220Z,19.2398338,-155.4198303,34.07,2.37,md,52,110,0.02123,0.16,hv,hv61256531,2016-05-10T05:27:22.500Z,"7km ENE of Pahala, Hawaii",earthquake,0.57,0.59,0.11,25,automatic,hv,hv
2016-05-10T04:58:29.620Z,38.800499,-122.7740021,1.56,1.02,md,17,66,0.0131,0.03,nc,nc72633175,2016-05-10T06:36:01.855Z,"2km NNW of The Geysers, California",earthquake,0.22,0.51,0.18,5,automatic,nc,nc
2016-05-10T04:35:20.543Z,38.5285,-118.1596,4.3,1.1,ml,7,182.12,0.096,0.1114,nn,nn00543583,2016-05-10T04:49:53.782Z,"40km E of Hawthorne, Nevada",earthquake,,8.4,0.58,5,reviewed,nn,nn
