time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-19T04:50:04.780Z,35.7808342,-118.0025024,7.62,1.02,ml,15,95,0.09941,0.1,ci,ci37570576,2016-05-19T04:52:38.442Z,"19km SSW of Little Lake, California",earthquake,0.5,1.64,0.12,4,automatic,ci,ci
2016-05-19T04:36:02.190Z,37.1492,-117.389,15.1,1.1,ml,19,117,0.157,,nn,nn00544727,2016-05-19T04:37:47.188Z,"62km WNW of Beatty, Nevada",earthquake,,,,,automatic,nn,nn
2016-05-19T04:06:49.770Z,38.8231659,-122.8065033,2.41,0.88,md,10,124,0.002799,0.02,nc,nc72637565,2016-05-19T04:23:02.796Z,"6km NW of The Geysers, California",earthquake,0.33,0.87,0.01,3,automatic,nc,nc
2016-05-19T03:14:04.000Z,60.0823,-153.4758,177.6,3.4,ml,,,,0.53,ak,ak13592769,2016-05-19T04:24:13.190Z,"60km SW of Redoubt Volcano, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
2016-05-19T03:08:34.910Z,33.198,-115.5853333,2.99,1.57,ml,19,99,0.03264,0.24,ci,ci37570552,2016-05-19T03:13:13.836Z,"8km SW of Niland, CA",earthquake,0.33,0.32,0.225,28,automatic,ci,ci
2016-05-19T03:02:01.900Z,33.2121667,-115.5838333,3.46,1.36,ml,13,112,0.04351,0.19,ci,ci37570544,2016-05-19T03:06:08.991Z,"7km WSW of Niland, CA",earthquake,0.45,0.32,0.314,20,automatic,ci,ci
2016-05-19T02:56:46.174Z,40.6514,-119.4786,8,1.3,ml,8,167.12,0.056,0.1606,nn,nn00544722,2016-05-19T03:19:19.985Z,"11km NW of Gerlach-Empire, Nevada",earthquake,,2.6,0.09,3,reviewed,nn,nn
2016-05-19T02:54:20.050Z,38.7868347,-122.7638321,-0.07,0.89,md,9,201,0.02149,0.02,nc,nc72637560,2016-05-19T03:02:02.615Z,"1km NNW of The Geysers, California",earthquake,0.5,1.09,0.03,4,automatic,nc,nc
2016-05-19T02:49:59.695Z,40.6501,-119.4792,8.5,1.2,ml,7,166.83,0.058,0.1625,nn,nn00544721,2016-05-19T03:16:06.435Z,"11km NW of Gerlach-Empire, Nevada",earthquake,,2.9,0.09,3,reviewed,nn,nn
2016-05-19T02:48:13.140Z,38.8361664,-122.7955017,2.14,0.48,md,10,89,0.004609,0.02,nc,nc72637555,2016-05-19T03:33:03.689Z,"6km WNW of Cobb, California",earthquake,0.42,0.92,0.08,2,automatic,nc,nc
2016-05-19T02:40:51.000Z,61.5194,-151.6262,70.3,1.5,ml,,,,0.54,ak,ak13592765,2016-05-19T03:29:08.793Z,"87km WSW of Willow, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-05-19T02:39:08.350Z,38.8440018,-122.8144989,6.95,0.57,md,8,230,0.01726,0.03,nc,nc72637550,2016-05-19T03:21:03.652Z,"8km WNW of Cobb, California",earthquake,2.55,3.86,,1,automatic,nc,nc
2016-05-19T02:13:49.520Z,38.8069992,-122.8174973,3.25,0.55,md,5,139,0.01737,0.02,nc,nc72637535,2016-05-19T02:50:03.565Z,"6km WNW of The Geysers, California",earthquake,0.73,1.72,,1,automatic,nc,nc
2016-05-19T02:02:43.000Z,19.183,-64.5735,39,3.2,Md,7,309.6,0.86687425,0.28,pr,pr16140000,2016-05-19T04:12:17.879Z,"84km N of Road Town, British Virgin Islands",earthquake,5.2,16.8,0,6,reviewed,pr,pr
2016-05-19T02:02:37.490Z,45.308,-121.6908333,4.14,0.09,md,4,193,0.03096,0.02,uw,uw61141092,2016-05-19T04:51:12.600Z,"23km ESE of Mount Hood Village, Oregon",earthquake,0.45,0.59,0.09,3,reviewed,uw,uw
2016-05-19T02:00:32.000Z,63.5672,-147.6422,8.3,1,ml,,,,0.26,ak,ak13592760,2016-05-19T03:29:08.126Z,"68km ENE of Cantwell, Alaska",earthquake,0.5,0.5,,,automatic,ak,ak
2016-05-19T02:00:01.650Z,38.8226662,-122.7988358,2.39,0.88,md,8,155,0.008809,0.01,nc,nc72637530,2016-05-19T02:27:03.625Z,"6km W of Cobb, California",earthquake,0.54,1,0.01,3,automatic,nc,nc
2016-05-19T01:54:22.000Z,59.6064,-152.8948,97.5,1.7,ml,,,,0.18,ak,ak13592756,2016-05-19T02:33:48.732Z,"62km WSW of Anchor Point, Alaska",earthquake,5.5,3.4,,,automatic,ak,ak
2016-05-19T01:52:22.000Z,61.6226,-148.2171,16.8,1.3,ml,,,,0.53,ak,ak13592757,2016-05-19T02:33:49.528Z,"38km E of Lazy Mountain, Alaska",earthquake,0.6,0.2,,,automatic,ak,ak
2016-05-19T01:33:20.000Z,62.496,-151.4517,83,1.6,ml,,,,0.54,ak,ak13592754,2016-05-19T02:33:44.752Z,"71km WNW of Talkeetna, Alaska",earthquake,0.3,0.7,,,automatic,ak,ak
2016-05-19T01:30:51.460Z,38.7611656,-122.7381668,1.1,0.51,md,8,120,0.009788,0.02,nc,nc72637480,2016-05-19T02:15:04.505Z,"2km SE of The Geysers, California",earthquake,0.34,0.7,0.05,3,automatic,nc,nc
2016-05-19T01:12:05.780Z,35.4228333,-118.7423333,3.08,1.43,ml,15,165,0.1963,0.16,ci,ci37570520,2016-05-19T01:16:27.804Z,"24km NE of Lamont, CA",earthquake,0.5,1.41,0.146,25,automatic,ci,ci
2016-05-19T01:10:40.000Z,62.4253,-147.6871,23.6,1.2,ml,,,,0.2,ak,ak13592746,2016-05-19T02:33:44.083Z,"92km NE of Sutton-Alpine, Alaska",earthquake,0.6,0.5,,,automatic,ak,ak
2016-05-19T00:58:32.450Z,36.2686,-97.5716,1.38,2.6,mb_lg,,32,0.169,0.22,us,us10005id6,2016-05-19T01:09:05.448Z,"25km W of Perry, Oklahoma",earthquake,0.9,7.3,0.1,26,reviewed,us,us
2016-05-19T00:47:03.000Z,64.5062,-149.4726,16.7,0.8,ml,,,,0.48,ak,ak13592743,2016-05-19T01:35:03.641Z,"19km WSW of North Nenana, Alaska",earthquake,0.9,0.2,,,automatic,ak,ak
2016-05-19T00:40:38.310Z,33.8863333,-116.8473333,14.89,1.22,ml,37,69,0.06705,0.11,ci,ci37570512,2016-05-19T01:04:12.097Z,"5km SSE of Banning, CA",earthquake,0.15,0.38,0.118,22,reviewed,ci,ci
2016-05-19T00:37:08.520Z,34.4673333,-117.0706667,1.31,1.8,ml,75,39,0.08862,0.15,ci,ci37570504,2016-05-19T00:59:59.925Z,"10km WNW of Lucerne Valley, CA",earthquake,0.13,0.37,0.168,23,reviewed,ci,ci
2016-05-19T00:32:13.000Z,60.4875,-151.946,77.7,1.4,ml,,,,0.37,ak,ak13592741,2016-05-19T01:35:04.938Z,"36km WNW of Kalifornsky, Alaska",earthquake,0.8,1.7,,,automatic,ak,ak
2016-05-19T00:31:28.910Z,37.0338333,-121.4883333,7.5,0.95,md,19,52,0.06938,0.06,nc,nc72637435,2016-05-19T03:01:03.614Z,"7km ENE of Gilroy, California",earthquake,0.18,0.59,0.194,17,reviewed,nc,nc
2016-05-19T00:30:19.510Z,34.2261667,-117.5168333,8.23,0.97,ml,24,92,0.0232,0.13,ci,ci37570496,2016-05-19T00:47:01.022Z,"4km SSW of Lytle Creek, CA",earthquake,0.21,0.37,0.16,15,reviewed,ci,ci
2016-05-19T00:25:58.000Z,61.2785,-141.1452,0,1.6,ml,,,,0.58,ak,ak13592738,2016-05-19T01:35:04.289Z,"152km NNE of Cape Yakataga, Alaska",earthquake,0.2,0.4,,,automatic,ak,ak
2016-05-19T00:19:01.310Z,19.4136658,-155.2821655,0.76,2.04,ml,17,61,0.002004,0.12,hv,hv61265791,2016-05-19T00:50:11.843Z,"5km WSW of Volcano, Hawaii",earthquake,0.11,0.2,0.38,7,automatic,hv,hv
2016-05-19T00:15:12.720Z,19.416666,-155.2766724,1.29,3.08,ml,44,37,0.00611,0.21,hv,hv61265781,2016-05-19T00:21:07.314Z,"4km WSW of Volcano, Hawaii",earthquake,0.21,0.13,0.41,30,automatic,hv,hv
2016-05-19T00:03:31.125Z,37.2496,-114.2269,15,0.8,ml,5,171.35,0.262,0.1721,nn,nn00544719,2016-05-19T01:47:26.691Z,"46km NNW of Beaver Dam, Arizona",earthquake,,5,0.34,2,reviewed,nn,nn
2016-05-19T00:02:30.840Z,37.4398333,-118.8715,5.66,0.74,md,19,140,0.1284,0.03,nc,nc72637410,2016-05-19T02:30:04.532Z,"24km SSE of Mammoth Lakes, California",earthquake,0.31,1.92,0.152,16,reviewed,nc,nc
2016-05-18T23:51:25.220Z,33.4725,-116.4328333,11.23,0.8,ml,25,117,0.05111,0.12,ci,ci37570488,2016-05-19T00:11:41.737Z,"24km SSW of La Quinta, CA",earthquake,0.22,0.48,0.16,20,reviewed,ci,ci
2016-05-18T23:46:23.290Z,38.8079987,-122.8026657,0.64,0.89,md,13,80,0.005753,0.03,nc,nc72637375,2016-05-18T23:55:03.543Z,"5km NW of The Geysers, California",earthquake,0.2,0.46,0.05,3,automatic,nc,nc
2016-05-18T23:40:28.670Z,37.5681667,-121.719,4.83,1.19,md,15,130,0.06172,0.06,nc,nc72637360,2016-05-19T03:42:01.705Z,"13km SSE of Livermore, California",earthquake,0.34,0.66,0.152,17,reviewed,nc,nc
2016-05-18T23:38:16.590Z,33.6,-116.81,7.96,0.68,ml,23,81,0.03882,0.08,ci,ci37570464,2016-05-19T00:04:04.627Z,"14km WNW of Anza, CA",earthquake,0.2,0.3,0.085,13,reviewed,ci,ci
2016-05-18T23:35:15.370Z,-10.1758,161.1544,83.72,4.9,mb,,79,1.396,0.63,us,us10005ics,2016-05-18T23:56:23.796Z,"89km WNW of Kirakira, Solomon Islands",earthquake,9.4,6.8,0.051,118,reviewed,us,us
2016-05-18T23:31:11.060Z,38.7941666,-122.739502,1.03,0.37,md,7,69,0.01113,0.05,nc,nc72637335,2016-05-19T00:16:04.596Z,"2km NE of The Geysers, California",earthquake,0.4,1.23,0.1,3,automatic,nc,nc
2016-05-18T23:14:44.129Z,37.0269,-116.2175,5.6,0.3,ml,15,62.75,0.028,0.0955,nn,nn00544698,2016-05-19T03:25:43.819Z,"49km ENE of Beatty, Nevada",earthquake,0.78,1.1,0.32,5,reviewed,nn,nn
2016-05-18T23:06:23.700Z,33.5771667,-116.818,7.78,0.34,ml,13,157,0.04792,0.12,ci,ci37570440,2016-05-18T23:27:46.590Z,"14km W of Anza, CA",earthquake,0.49,0.49,0.137,7,reviewed,ci,ci
2016-05-18T23:01:32.900Z,17.9356,-66.8786,12,2,Md,6,216,0.15990012,0.2,pr,pr16139018,2016-05-19T03:27:32.725Z,"4km SSE of Maria Antonia, Puerto Rico",earthquake,1.2,1.4,0,5,reviewed,pr,pr
2016-05-18T23:01:29.500Z,18.9134,-64.942,25,1.8,Md,3,306,0.60097293,0.36,pr,pr16139013,2016-05-19T00:38:34.049Z,"63km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,4.1,26.7,0,3,reviewed,pr,pr
2016-05-18T22:58:55.200Z,18.8563,-64.4281,3,3,Md,5,316.8,0.61534597,0.2,pr,pr16139011,2016-05-19T00:37:05.422Z,"52km NNE of Road Town, British Virgin Islands",earthquake,1.7,1.9,0,5,reviewed,pr,pr
2016-05-18T22:55:20.010Z,37.6461667,-118.9265,4.16,0.35,md,10,109,0.01861,0.02,nc,nc72637315,2016-05-18T23:30:03.487Z,"4km E of Mammoth Lakes, California",earthquake,0.95,0.69,0.219,8,reviewed,nc,nc
2016-05-18T22:49:25.000Z,60.0917,-153.498,154.5,4.1,ml,,,,0.59,ak,ak13592538,2016-05-18T23:39:32.690Z,"60km SW of Redoubt Volcano, Alaska",earthquake,0.4,0.4,,,reviewed,ak,ak
2016-05-18T22:40:54.659Z,37.0536,-116.207,8.4,-0.7,ml,8,109.9,0.034,0.0902,nn,nn00544709,2016-05-19T03:26:07.746Z,"51km ENE of Beatty, Nevada",earthquake,1.41,1.5,0.53,4,reviewed,nn,nn
2016-05-18T22:40:27.880Z,46.1468333,-122.838,-0.59,1.48,ml,10,133,0.06573,0.28,uw,uw61141037,2016-05-18T23:15:47.070Z,"5km E of Kelso, Washington",explosion,1.24,31.61,0.137,15,reviewed,uw,uw
2016-05-18T22:35:29.400Z,18.627,-64.1985,4,2.1,Md,3,345.6,0.61804092,0.15,pr,pr16139015,2016-05-19T01:31:04.766Z,"49km ENE of Road Town, British Virgin Islands",earthquake,9.7,3.5,0,3,reviewed,pr,pr
2016-05-18T22:20:59.310Z,33.0506667,-114.9711667,-0.15,1.57,ml,8,146,0.07845,0.29,ci,ci37570416,2016-05-18T23:02:13.053Z,"45km NNW of Los Algodones, B.C., MX",quarry blast,0.97,31.61,0.136,5,reviewed,ci,ci
2016-05-18T22:17:38.000Z,63.0665,-150.943,135,2.3,ml,,,,0.28,ak,ak13592372,2016-05-18T23:38:42.358Z,"93km NNW of Talkeetna, Alaska",earthquake,0.3,0.7,,,automatic,ak,ak
2016-05-18T22:15:05.797Z,37.052,-116.2068,8.5,-0.5,ml,11,59.87,0.034,0.0945,nn,nn00544706,2016-05-19T03:26:01.426Z,"51km ENE of Beatty, Nevada",earthquake,1.03,1.2,0.48,5,reviewed,nn,nn
2016-05-18T22:10:10.000Z,62.2979,-142.529,14.5,1.3,ml,,,,0.26,ak,ak13592371,2016-05-18T23:38:41.697Z,"118km SSE of Tok, Alaska",earthquake,0.6,0.9,,,automatic,ak,ak
2016-05-18T22:08:32.830Z,37.4585,-118.5738333,5.51,0.89,md,16,63,0.1055,0.06,nc,nc72637290,2016-05-18T23:21:04.452Z,"15km NW of West Bishop, California",earthquake,0.29,1.26,0.131,13,reviewed,nc,nc
2016-05-18T22:00:04.040Z,38.7618333,-122.729,2.3,1.86,md,59,29,0.003245,0.08,nc,nc72637285,2016-05-19T02:03:04.484Z,"2km SE of The Geysers, California",earthquake,0.16,0.19,0.205,30,reviewed,nc,nc
2016-05-18T21:59:31.575Z,40.645,-119.4653,7.3,1,ml,3,177.94,0.062,0.1634,nn,nn00544699,2016-05-19T03:25:49.849Z,"10km NW of Gerlach-Empire, Nevada",earthquake,7.94,10.9,0.33,2,reviewed,nn,nn
2016-05-18T21:49:45.000Z,61.5505,-146.5938,21.5,2.2,ml,,,,0.8,ak,ak13592361,2016-05-18T22:42:13.706Z,"48km NNW of Valdez, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-05-18T21:49:31.450Z,37.0495,-116.2076,8.2,-0.1,ml,13,100.02,0.035,0.1012,nn,nn00544696,2016-05-19T03:25:37.733Z,"51km ENE of Beatty, Nevada",earthquake,0.73,1,0.17,5,reviewed,nn,nn
2016-05-18T21:48:31.890Z,37.3208333,-122.102,-0.32,1.34,md,18,98,0.01505,0.05,nc,nc72637275,2016-05-19T01:42:21.104Z,"11km E of Quarry near Portola Valley, CA",quarry blast,0.13,31.61,0.28,14,reviewed,nc,nc
