time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-30T00:52:56.030Z,38.8013344,-122.8108368,0.38,1.34,md,16,106,0.01383,0.03,nc,nc72628800,2016-04-30T00:54:43.130Z,"5km WNW of The Geysers, California",earthquake,0.23,0.44,0.03,5,automatic,nc,nc
2016-04-30T00:40:26.050Z,33.3705,-116.2523333,6.33,0.89,ml,16,199,0.1716,0.22,ci,ci37337759,2016-04-30T00:45:20.570Z,"17km NE of Borrego Springs, CA",earthquake,0.62,1.72,0.162,19,automatic,ci,ci
2016-04-30T00:34:51.420Z,59.4991,-144.7204,22.04,3,ml,,151,0.455,0.63,us,us10005cm4,2016-04-30T00:51:46.838Z,"91km E of Middleton Island, Alaska",earthquake,5.9,13.1,0.035,109,reviewed,us,us
2016-04-30T00:34:02.170Z,37.5359993,-118.8656693,6.8,2.85,md,36,98,0.06126,0.05,nc,nc72628785,2016-04-30T00:52:02.151Z,"15km SE of Mammoth Lakes, California",earthquake,0.23,0.73,0.16,34,automatic,nc,nc
2016-04-30T00:28:44.380Z,36.6832,-116.2353,9.1,0.3,ml,12,95.82,0.044,,nn,nn00542336,2016-04-30T00:29:48.007Z,"53km ESE of Beatty, Nevada",earthquake,,,,,automatic,nn,nn
2016-04-30T00:24:22.030Z,38.8008347,-122.8111649,-0.03,1.43,md,20,115,0.014,0.07,nc,nc72628770,2016-04-30T00:41:05.113Z,"5km WNW of The Geysers, California",earthquake,0.21,0.47,0.11,4,automatic,nc,nc
2016-04-30T00:14:52.000Z,64.412,-147.2958,9.6,1.2,ml,,,,0.39,ak,ak13504348,2016-04-30T00:40:41.130Z,"22km WSW of Salcha, Alaska",earthquake,0.4,0.3,,,automatic,ak,ak
2016-04-30T00:11:18.200Z,37.746,-117.8242,0.2,1.6,ml,10,201.54,1.224,,nn,nn00542335,2016-04-30T00:13:13.329Z,"52km W of Goldfield, Nevada",earthquake,,,,,automatic,nn,nn
2016-04-29T23:57:43.000Z,61.7111,-154.0938,3.5,1.7,ml,,,,0.56,ak,ak13504346,2016-04-30T00:23:44.602Z,"154km NNW of Redoubt Volcano, Alaska",earthquake,0.4,0.3,,,automatic,ak,ak
2016-04-29T23:42:26.810Z,0.0497,125.9044,62.64,4.4,mb,,69,1.628,0.79,us,us10005clw,2016-04-30T00:39:26.382Z,"173km SSE of Bitung, Indonesia",earthquake,8.2,8.8,0.107,25,reviewed,us,us
2016-04-29T23:36:29.630Z,34.3713,26.5447,29.98,4.5,mwr,,117,1.277,0.75,us,us10005clu,2016-04-30T00:30:30.782Z,"91km SE of Makry Gialos, Greece",earthquake,7,5.6,0.08,15,reviewed,us,us
2016-04-29T23:34:52.000Z,64.0182,-148.8454,0,1.8,ml,,,,0.9,ak,ak13504236,2016-04-29T23:50:00.803Z,"18km NNE of Healy, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-04-29T23:16:07.310Z,33.9373333,-116.6853333,6.09,0.95,ml,17,72,0.1056,0.1,ci,ci37337727,2016-04-30T00:01:20.312Z,"10km ENE of Cabazon, CA",earthquake,0.19,0.87,0.205,19,reviewed,ci,ci
2016-04-29T23:12:23.250Z,19.3353329,-155.1451721,0.27,2.4,ml,48,102,0.04944,0.27,hv,hv61245571,2016-04-29T23:18:05.970Z,"14km SE of Volcano, Hawaii",earthquake,0.46,0.19,0.2,4,automatic,hv,hv
2016-04-29T23:04:18.000Z,64.991,-147.3318,0,1.3,ml,,,,0.84,ak,ak13504232,2016-04-29T23:32:36.364Z,"23km NNE of Badger, Alaska",earthquake,0.2,1,,,automatic,ak,ak
2016-04-29T23:03:07.750Z,38.0934982,-118.7133331,10.08,1.85,md,7,200,0.125,0.03,nc,nc72628765,2016-04-29T23:49:29.935Z,"47km ESE of Bridgeport, California",earthquake,0.76,0.87,0.21,4,automatic,nc,nc
2016-04-29T22:50:15.340Z,-16.1751,167.0002,18.21,5,mb,,83,0.749,0.88,us,us10005cl9,2016-04-29T23:08:12.099Z,"42km WSW of Norsup, Vanuatu",earthquake,6.4,2.2,0.115,24,reviewed,us,us
