time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-23T01:46:16.640Z,33.6783333,-116.7116667,15.11,0.62,ml,21,96,0.03567,0.15,ci,ci37572600,2016-05-23T01:50:32.836Z,"7km S of Idyllwild, CA",earthquake,0.39,0.55,0.189,14,automatic,ci,ci
2016-05-23T01:41:49.920Z,19.4755001,-155.4075012,9.21,1.97,ml,43,41,0.02683,0.18,hv,hv61269756,2016-05-23T01:47:32.910Z,"18km WNW of Volcano, Hawaii",earthquake,0.3,0.62,0.15,3,automatic,hv,hv
2016-05-23T01:24:18.060Z,35.9797,-97.2043,2.82,2.8,mb_lg,,45,0.225,0.21,us,us10005j9b,2016-05-23T01:46:51.345Z,"5km NE of Langston, Oklahoma",earthquake,1.2,4.5,0.067,58,reviewed,us,us
2016-05-23T01:15:27.000Z,61.6121,-140.8839,2.4,1.4,ml,,,,0.42,ak,ak13603177,2016-05-23T01:51:07.653Z,"189km E of Chitina, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-05-23T01:13:32.000Z,64.8293,-144.8764,0,1.5,ml,,,,0.68,ak,ak13603175,2016-05-23T01:51:09.095Z,"72km S of Circle Hot Springs Station, Alaska",earthquake,0.6,0.3,,,automatic,ak,ak
2016-05-23T00:52:00.000Z,61.2158,-150.7706,51.9,1.6,ml,,,,0.76,ak,ak13603172,2016-05-23T01:51:08.315Z,"46km W of Anchorage, Alaska",earthquake,0.4,0.9,,,automatic,ak,ak
2016-05-23T00:42:57.980Z,48.547,-121.5795,3.15,1.04,ml,4,163,0.06937,0.05,uw,uw61142557,2016-05-23T00:59:38.540Z,"6km N of Rockport, Washington",earthquake,1.01,7.91,0.06,3,reviewed,uw,uw
2016-05-23T00:26:31.490Z,48.3616667,-122.8091667,-0.47,0.94,md,9,110,0.318,1.14,uw,uw61142547,2016-05-23T00:55:52.530Z,"10km WNW of Ault Field, Washington",earthquake,2.9,8.7,0.077,4,reviewed,uw,uw
2016-05-23T00:22:57.670Z,35.996,-97.1988,5,2.7,mb_lg,,29,0.216,0.44,us,us10005j98,2016-05-23T00:40:30.642Z,"7km NE of Langston, Oklahoma",earthquake,1,2,0.068,57,reviewed,us,us
2016-05-23T00:13:00.020Z,33.6835,-116.7506667,15.74,0.97,ml,37,43,0.04445,0.16,ci,ci37572584,2016-05-23T00:17:23.347Z,"7km SSW of Idyllwild, CA",earthquake,0.27,0.45,0.248,28,automatic,ci,ci
2016-05-23T00:02:24.460Z,19.3236675,-155.1456604,6.73,1.84,md,40,107,0.04073,0.28,hv,hv61269596,2016-05-23T00:05:50.770Z,"15km SE of Volcano, Hawaii",earthquake,0.55,0.7,0.21,10,automatic,hv,hv
2016-05-22T23:58:13.230Z,20.5256,120.5086,10,4.5,mb,,62,2.342,0.57,us,us10005j97,2016-05-23T00:19:19.811Z,"141km WSW of Itbayat, Philippines",earthquake,9,1.9,0.061,80,reviewed,us,us
2016-05-22T23:31:33.550Z,38.8366661,-122.7983322,1.68,0.89,md,16,64,0.006477,0.04,nc,nc72638875,2016-05-23T00:02:01.753Z,"6km WNW of Cobb, California",earthquake,0.25,0.43,0.03,3,automatic,nc,nc
2016-05-22T23:10:56.000Z,64.81,-147.3546,0.4,1.3,ml,,,,0.68,ak,ak13602849,2016-05-23T00:44:46.682Z,"6km N of North Pole, Alaska",earthquake,0.2,0.3,,,automatic,ak,ak
