time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-06-02T09:31:37.000Z,62.3334,-142.5427,1,1.7,ml,,,,0.55,ak,ak13624985,2016-06-02T09:49:29.654Z,"114km SSE of Tok, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
2016-06-02T09:25:01.000Z,62.3327,-142.5493,3.2,1.8,ml,,,,0.63,ak,ak13624983,2016-06-02T09:49:31.469Z,"114km SSE of Tok, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
2016-06-02T09:23:52.100Z,34.7169991,-116.0353317,2.11,3.3,ml,66,52,0.1015,0.16,ci,ci37367055,2016-06-02T09:42:03.077Z,"11km E of Ludlow, California",earthquake,0.14,0.42,0.259,24,automatic,ci,ci
2016-06-02T09:12:27.650Z,33.9998333,-117.176,14.6,0.8,ml,24,62,0.1083,0.14,ci,ci37367039,2016-06-02T09:17:41.097Z,"6km S of Redlands, CA",earthquake,0.27,0.65,0.21,20,automatic,ci,ci
2016-06-02T09:09:06.900Z,19.2607,-67.2393,44,3.3,Md,13,273.6,0.79770397,0.33,pr,pr16154001,2016-06-02T09:45:45.370Z,"86km N of San Antonio, Puerto Rico",earthquake,2.1,8.1,0,12,reviewed,pr,pr
2016-06-02T09:08:57.000Z,62.3081,-150.4755,9.6,1.9,ml,,,,0.81,ak,ak13624979,2016-06-02T09:49:30.782Z,"19km W of Talkeetna, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-06-02T09:07:17.090Z,38.8190002,-122.8040009,1.76,0.55,md,11,89,0.006463,0.02,nc,nc72644636,2016-06-02T09:22:03.618Z,"6km NW of The Geysers, California",earthquake,0.3,0.56,,1,automatic,nc,nc
2016-06-02T08:57:00.790Z,34.7145,-116.032,2.62,1.55,ml,15,71,0.1033,0.22,ci,ci37367023,2016-06-02T09:01:12.791Z,"12km E of Ludlow, CA",earthquake,0.45,0.7,0.133,19,automatic,ci,ci
2016-06-02T08:35:24.020Z,38.8441658,-122.8259964,1.54,1.05,md,20,79,0.00927,0.02,nc,nc72644626,2016-06-02T08:51:04.522Z,"9km WNW of Cobb, California",earthquake,0.21,0.35,0.15,6,automatic,nc,nc
2016-06-02T08:13:38.710Z,35.9998322,-120.5630035,1.33,1.11,md,18,86,0.02344,0.09,nc,nc72644621,2016-06-02T08:29:03.772Z,"23km SW of Coalinga, California",earthquake,0.29,0.65,0.07,6,automatic,nc,nc
2016-06-02T07:59:31.690Z,40.6478,-119.4732,7.5,1.9,ml,18,116.95,0.057,,nn,nn00546340,2016-06-02T08:01:55.914Z,"10km NW of Gerlach-Empire, Nevada",earthquake,,,,,automatic,nn,nn
2016-06-02T07:56:21.050Z,19.446167,-155.3224945,4.97,2.98,ml,57,50,0.03876,0.21,hv,hv61282546,2016-06-02T08:40:06.845Z,"9km W of Volcano, Hawaii",earthquake,0.3,0.87,0.37,33,automatic,hv,hv
2016-06-02T07:30:52.210Z,34.7166667,-116.0325,2.77,1.59,ml,15,54,0.1036,0.19,ci,ci37367007,2016-06-02T07:37:12.817Z,"12km E of Ludlow, CA",earthquake,0.33,0.6,0.137,24,automatic,ci,ci
2016-06-02T07:29:33.497Z,36.3418,-116.5009,0,0.7,ml,8,217.42,0.208,,nn,nn00546338,2016-06-02T07:30:58.020Z,"48km WNW of Pahrump, Nevada",earthquake,,,0.83,4,automatic,nn,nn
2016-06-02T07:29:03.400Z,34.7198333,-116.0321667,2.32,1.98,ml,18,54,0.1049,0.23,ci,ci37366999,2016-06-02T07:33:31.705Z,"12km E of Ludlow, CA",earthquake,0.35,0.71,0.169,26,automatic,ci,ci
2016-06-02T07:24:30.110Z,38.796833,-122.7600021,2.22,0.64,md,15,66,0.02212,0.02,nc,nc72644616,2016-06-02T08:09:04.689Z,"2km N of The Geysers, California",earthquake,0.28,0.7,0.14,5,automatic,nc,nc
2016-06-02T07:11:51.360Z,39.2497,-119.7807,7,0.3,ml,5,124.11,0.117,,nn,nn00546336,2016-06-02T07:12:57.209Z,"9km N of Carson City, Nevada",earthquake,,,,,automatic,nn,nn
2016-06-02T06:59:58.290Z,17.725,-105.8541,31,4.4,mb,,199,4.784,0.84,us,us20005zwi,2016-06-02T07:18:36.898Z,"205km SW of San Patricio, Mexico",earthquake,11.2,5.7,0.067,64,reviewed,us,us
2016-06-02T06:54:13.000Z,61.3216,-147.3953,10.7,2.8,ml,,,,0.83,ak,ak13624624,2016-06-02T07:31:36.161Z,"60km WNW of Valdez, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-06-02T06:35:42.610Z,34.7128333,-116.0291667,2.14,2.3,ml,20,54,0.105,0.22,ci,ci37366839,2016-06-02T06:46:23.250Z,"12km E of Ludlow, CA",earthquake,0.3,0.66,0.167,26,automatic,ci,ci
2016-06-02T06:25:25.750Z,38.8224983,-122.836998,7.04,1.15,md,10,174,0.03975,0.11,nc,nc72644596,2016-06-02T09:37:01.646Z,"8km NW of The Geysers, California",earthquake,1.21,2.18,0.09,2,automatic,nc,nc
2016-06-02T06:09:58.000Z,63.2605,-151.0539,8.6,1.1,ml,,,,0.38,ak,ak13624621,2016-06-02T06:35:48.271Z,"106km W of Cantwell, Alaska",earthquake,0.4,0.7,,,automatic,ak,ak
2016-06-02T06:01:24.000Z,61.9635,-148.9358,2.9,0.8,ml,,,,0.18,ak,ak13624620,2016-06-02T06:35:47.355Z,"19km NNW of Sutton-Alpine, Alaska",earthquake,0.6,8.8,,,automatic,ak,ak
2016-06-02T05:52:55.120Z,33.9981667,-116.3166667,7.4,1.08,ml,35,34,0.09347,0.23,ci,ci37366719,2016-06-02T06:04:10.210Z,"15km S of Joshua Tree, CA",earthquake,0.35,0.92,0.229,25,automatic,ci,ci
2016-06-02T05:47:18.530Z,34.7135,-116.0341667,2.92,2.52,ml,22,53,0.1013,0.17,ci,ci37366711,2016-06-02T05:52:04.526Z,"12km E of Ludlow, CA",earthquake,0.23,0.56,0.199,26,automatic,ci,ci
2016-06-02T05:45:22.310Z,36.0408325,-120.6138306,4.12,2.68,md,58,45,0.06043,0.07,nc,nc72644576,2016-06-02T08:47:01.512Z,"25km WSW of Coalinga, California",earthquake,0.2,0.35,0.14,42,automatic,nc,nc
2016-06-02T05:41:24.110Z,38.901001,-122.762001,31.86,1.57,md,12,195,0.04462,0.1,nc,nc72644571,2016-06-02T08:31:02.750Z,"9km NNW of Cobb, California",earthquake,3.82,9.68,0.5,3,automatic,nc,nc
2016-06-02T05:32:30.420Z,38.8284988,-122.8051682,1.4,2.15,md,33,40,0.006376,0.04,nc,nc72644556,2016-06-02T08:06:02.685Z,"7km W of Cobb, California",earthquake,0.17,0.28,0.1,11,automatic,nc,nc
2016-06-02T05:29:49.710Z,20.1898327,-156.4216614,1.95,2.36,md,35,158,0.5886,0.18,hv,hv61282436,2016-06-02T05:33:21.090Z,"57km S of Keokea, Hawaii",earthquake,1.09,0.62,0.21,6,automatic,hv,hv
2016-06-02T05:15:57.050Z,33.7018333,-116.7926667,17.03,0.43,ml,12,166,0.0661,0.12,ci,ci37366679,2016-06-02T05:20:11.086Z,"8km WSW of Idyllwild, CA",earthquake,0.66,0.53,0.198,10,automatic,ci,ci
2016-06-02T04:41:25.000Z,63.0641,-151.5656,2.7,1.2,ml,,,,0.18,ak,ak13624618,2016-06-02T05:16:14.469Z,"111km NW of Talkeetna, Alaska",earthquake,0.6,0.5,,,automatic,ak,ak
2016-06-02T04:32:59.000Z,61.064,-149.3796,28.8,1.6,ml,,,,0.41,ak,ak13624617,2016-06-02T05:16:13.622Z,"32km ESE of Anchorage, Alaska",earthquake,0.9,0.3,,,automatic,ak,ak
2016-06-02T04:31:53.530Z,32.9808333,-116.4225,8.13,0.91,ml,12,146,0.08859,0.17,ci,ci37366527,2016-06-02T04:36:05.251Z,"20km ESE of Julian, CA",earthquake,0.45,1.26,0.14,14,automatic,ci,ci
