time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-11T03:33:15.220Z,36.482,-114.0598,0.3,1.3,ml,13,255.03,0.649,,nn,nn00543715,2016-05-11T03:35:48.123Z,"32km S of Bunkerville, Nevada",earthquake,,,,,automatic,nn,nn
2016-05-11T03:26:00.140Z,45.9398333,-119.395,6.36,1.38,ml,16,110,0.32,0.24,uw,uw61136577,2016-05-11T03:39:52.570Z,"4km WNW of Umatilla, Oregon",earthquake,0.74,2.91,0.204,7,reviewed,uw,uw
2016-05-11T03:06:53.330Z,34.5803333,-118.0365,6.71,0.71,ml,15,69,0.05342,0.15,ci,ci37563744,2016-05-11T03:11:15.290Z,"6km E of Palmdale, CA",earthquake,0.35,0.54,0.283,15,automatic,ci,ci
2016-05-11T02:52:29.060Z,46.1841667,-122.28,8.03,0.14,ml,6,127,0.03172,0.1,uw,uw61136572,2016-05-11T03:45:51.768Z,"33km NNE of Amboy, Washington",earthquake,0.39,0.93,0.063,3,reviewed,uw,uw
2016-05-11T02:28:55.370Z,46.7581667,-121.9746667,6.45,0.45,ml,6,267,0.1096,0.06,uw,uw61136562,2016-05-11T03:48:34.590Z,"25km ESE of Eatonville, Washington",earthquake,0.52,1.38,0.204,3,reviewed,uw,uw
2016-05-11T02:28:31.590Z,36.1256,-97.0699,5.29,2.1,mb_lg,,42,0.134,0.25,us,us10005gfg,2016-05-11T02:45:06.525Z,"1km NW of Stillwater, Oklahoma",earthquake,0.8,3.9,0.161,10,reviewed,us,us
2016-05-11T02:01:44.000Z,63.0833,-151.4307,0,1.6,ml,,,,0.65,ak,ak13547529,2016-05-11T02:32:42.756Z,"108km NW of Talkeetna, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-05-11T01:50:12.150Z,35.5316658,-120.848999,4.33,1.51,md,22,89,0.04709,0.06,nc,nc72633590,2016-05-11T02:06:03.333Z,"10km NNE of Cayucos, California",earthquake,0.58,0.95,0.38,10,automatic,nc,nc
2016-05-11T01:38:08.340Z,36.553,-114.5113,1.6,1.4,ml,16,263.7,0.287,,nn,nn00543714,2016-05-11T01:39:58.774Z,"4km SW of Moapa Valley, Nevada",earthquake,,,,,automatic,nn,nn
2016-05-11T01:36:58.000Z,61.7765,-150.7352,40.2,2.8,ml,,,,0.61,ak,ak13547516,2016-05-11T02:33:21.526Z,"36km W of Willow, Alaska",earthquake,0.2,1.2,,,automatic,ak,ak
