time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-01T10:36:36.000Z,62.1005,-151.2423,74,1.6,ml,,,,0.75,ak,ak13506718,2016-05-01T10:52:14.522Z,"63km WSW of Talkeetna, Alaska",earthquake,0.5,0.9,,,automatic,ak,ak
2016-05-01T10:35:34.460Z,18.1597,-61.5886,20.08,4.8,mb,,71,0.523,0.89,us,us10005ctx,2016-05-01T10:51:31.139Z,"63km NNE of Codrington, Barbuda",earthquake,6.4,4.1,0.037,222,reviewed,us,us
2016-05-01T10:29:37.460Z,33.9015,-116.9031667,13.51,0.96,ml,41,41,0.1111,0.16,ci,ci37338191,2016-05-01T10:34:27.495Z,"4km SW of Banning, CA",earthquake,0.19,0.53,0.186,29,automatic,ci,ci
2016-05-01T10:22:38.140Z,34.122,-117.4791667,12.83,0.96,ml,33,36,0.08693,0.18,ci,ci37338183,2016-05-01T10:27:36.449Z,"3km NW of Fontana, CA",earthquake,0.32,0.7,0.18,30,automatic,ci,ci
2016-05-01T10:18:19.000Z,64.697,-149.0272,16.5,1,ml,,,,0.39,ak,ak13506714,2016-05-01T10:33:57.559Z,"13km NNE of North Nenana, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-05-01T10:08:17.640Z,37.7060013,-122.1266632,7.82,1.21,md,10,172,0.01905,0.03,nc,nc72629355,2016-05-01T10:23:03.567Z,"1km NW of Ashland, California",earthquake,0.57,0.39,0.08,7,automatic,nc,nc
2016-05-01T09:41:23.000Z,64.6776,-146.805,7.5,1.2,ml,,,,0.3,ak,ak13506709,2016-05-01T09:56:57.486Z,"12km E of Eielson Air Force Base, Alaska",earthquake,0.6,0.6,,,automatic,ak,ak
2016-05-01T09:03:45.830Z,38.8086662,-122.8148346,1.98,0.76,md,9,102,0.01121,0.02,nc,nc72629325,2016-05-01T09:25:02.401Z,"6km NW of The Geysers, California",earthquake,0.49,0.69,0.16,2,automatic,nc,nc
2016-05-01T08:57:42.830Z,37.3731651,-122.1669998,3.92,1.5,md,9,136,0.0222,0.04,nc,nc72629320,2016-05-01T10:43:02.586Z,"2km WSW of Los Altos Hills, California",earthquake,0.4,0.55,0.14,9,automatic,nc,nc
2016-05-01T08:50:52.000Z,62.3918,-148.5349,31.1,2.3,ml,,,,0.48,ak,ak13506702,2016-05-01T09:19:51.531Z,"68km NNE of Sutton-Alpine, Alaska",earthquake,0.4,0.4,,,automatic,ak,ak
2016-05-01T08:41:18.980Z,38.7473335,-122.7128296,2.03,1.31,md,10,150,0.02335,0.05,nc,nc72629315,2016-05-01T10:18:03.554Z,"5km SE of The Geysers, California",earthquake,0.45,0.95,0.13,5,automatic,nc,nc
2016-05-01T08:24:14.140Z,38.8293343,-122.8043365,1.9,0.88,md,11,126,0.007434,0.03,nc,nc72629310,2016-05-01T09:51:04.476Z,"7km W of Cobb, California",earthquake,0.34,1.05,,1,automatic,nc,nc
2016-05-01T08:05:00.000Z,63.1153,-151.5374,0.1,1.6,ml,,,,0.54,ak,ak13506699,2016-05-01T08:33:10.653Z,"114km NW of Talkeetna, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-05-01T07:54:09.810Z,38.8248329,-122.8241653,0.58,0.89,md,7,114,0.008658,0.02,nc,nc72629300,2016-05-01T08:59:03.344Z,"7km NW of The Geysers, California",earthquake,0.33,0.85,,1,automatic,nc,nc
2016-05-01T07:49:46.000Z,62.9676,-149.6872,73.2,1.9,ml,,,,0.5,ak,ak13506545,2016-05-01T08:15:15.191Z,"60km SW of Cantwell, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
