time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-22T12:24:54.450Z,38.8343315,-122.8205032,1.8,0.86,md,8,154,0.03542,0.01,nc,nc72638780,2016-05-22T12:40:02.187Z,"8km W of Cobb, California",earthquake,0.88,0.54,0.11,2,automatic,nc,nc
2016-05-22T12:20:42.690Z,-22.3818,-64.2059,9.15,5.5,mb,,24,3.713,1.3,us,us10005j84,2016-05-22T12:43:58.560Z,"44km WNW of Tartagal, Argentina",earthquake,6,4.1,0.031,362,reviewed,us,us
2016-05-22T12:00:46.120Z,36.374,-97.7243,1.74,3.4,mb_lg,,26,0.242,0.53,us,us10005j7z,2016-05-22T12:15:29.302Z,"14km E of Enid, Oklahoma",earthquake,0.5,7.6,0.05,104,reviewed,us,us
2016-05-22T11:53:47.890Z,36.3772,-97.7234,1.23,2.8,mb_lg,,27,0.245,0.44,us,us10005j7x,2016-05-22T12:22:36.089Z,"14km E of Enid, Oklahoma",earthquake,0.8,7.7,0.066,59,reviewed,us,us
2016-05-22T11:47:09.300Z,-30.5963,-71.7232,28.62,5,mb,,133,0.108,0.67,us,us10005j7v,2016-05-22T12:08:53.061Z,"50km W of Ovalle, Chile",earthquake,6.4,1.5,0.069,67,reviewed,us,us
2016-05-22T11:04:57.000Z,60.3006,-152.5768,118.1,1.7,ml,,,,0.16,ak,ak13601564,2016-05-22T11:50:40.571Z,"22km SSE of Redoubt Volcano, Alaska",earthquake,1.1,1.3,,,automatic,ak,ak
2016-05-22T10:46:18.000Z,60.0403,-153.1402,138,2.6,ml,,,,0.78,ak,ak13601560,2016-05-22T11:51:39.910Z,"54km SSW of Redoubt Volcano, Alaska",earthquake,0.8,0.7,,,automatic,ak,ak
2016-05-22T10:40:32.990Z,35.7828333,-117.996,0.24,0.74,ml,8,126,0.09403,0.16,ci,ci37572304,2016-05-22T10:45:01.962Z,"19km SSW of Little Lake, CA",earthquake,0.53,31.61,0.123,8,automatic,ci,ci
2016-05-22T10:30:46.450Z,33.5921667,-116.8165,7.91,0.13,ml,6,179,0.04589,0.05,ci,ci37572288,2016-05-22T10:34:48.517Z,"14km WNW of Anza, CA",earthquake,0.33,0.41,0.027,6,automatic,ci,ci
2016-05-22T10:19:54.650Z,38.8349991,-122.8028336,2.13,0.56,md,6,108,0.01289,0.01,nc,nc72638750,2016-05-22T10:35:02.896Z,"7km WNW of Cobb, California",earthquake,0.99,1.67,,1,automatic,nc,nc
2016-05-22T10:16:13.350Z,34.5028333,-120.693,0.74,1.82,ml,15,203,0.126,0.37,ci,ci37572280,2016-05-22T10:20:40.448Z,"26km SW of Lompoc, CA",earthquake,1.88,31.61,0.199,16,automatic,ci,ci
2016-05-22T10:08:57.710Z,37.6393318,-118.9398346,5.36,0.95,md,10,98,0.02666,0.01,nc,nc72638740,2016-05-22T11:26:03.021Z,"3km ESE of Mammoth Lakes, California",earthquake,1.21,1.78,0.11,9,automatic,nc,nc
2016-05-22T09:37:10.948Z,40.6576,-119.5097,7.9,0.5,ml,4,173.26,0.059,0.1868,nn,nn00545074,2016-05-22T12:19:21.659Z,"13km NW of Gerlach-Empire, Nevada",earthquake,,8.5,0,1,reviewed,nn,nn
2016-05-22T09:30:36.700Z,19.3840008,-155.2745056,3.63,1.92,ml,17,181,0.01134,0.28,hv,hv61269026,2016-05-22T09:36:27.740Z,"6km SW of Volcano, Hawaii",earthquake,0.6,0.68,0.29,5,automatic,hv,hv
2016-05-22T09:30:36.080Z,19.3740005,-155.2833405,2.81,2.01,ml,34,48,0.01256,0.15,hv,hv61269021,2016-05-22T09:36:16.980Z,"7km SW of Volcano, Hawaii",earthquake,0.19,0.28,0.21,5,automatic,hv,hv
2016-05-22T09:26:04.920Z,33.9941667,-116.649,16.36,1.1,ml,31,69,0.04425,0.18,ci,ci37572272,2016-05-22T09:30:24.260Z,"9km SW of Morongo Valley, CA",earthquake,0.33,0.66,0.142,27,automatic,ci,ci
2016-05-22T09:08:58.970Z,33.5845,-116.7236667,13.78,0.75,ml,24,73,0.02219,0.14,ci,ci37572264,2016-05-22T09:13:18.062Z,"6km NW of Anza, CA",earthquake,0.3,0.38,0.114,21,automatic,ci,ci
2016-05-22T09:08:06.230Z,41.6529,120.11,16.53,4.8,mb,,56,6.534,0.9,us,us10005j7h,2016-05-22T09:52:11.569Z,"30km WNW of Chaoyang, China",earthquake,8.7,4.3,0.07,62,reviewed,us,us
2016-05-22T08:58:31.930Z,41.6717,23.2888,10,4.3,mwr,,50,0.946,0.61,us,us10005j7f,2016-05-22T09:52:37.917Z,"8km ENE of Strumyani, Bulgaria",earthquake,5,1.9,0.056,31,reviewed,us,us
2016-05-22T08:57:23.239Z,39.3647,-120.5498,15.6,0.9,ml,7,282.93,0.211,0.1412,nn,nn00545075,2016-05-22T12:22:36.464Z,"31km W of Truckee, California",earthquake,,6.8,0.09,2,reviewed,nn,nn
2016-05-22T07:54:13.670Z,34.0261667,-117.266,16.5,1.21,ml,48,28,0.07301,0.2,ci,ci37572248,2016-05-22T08:05:43.510Z,"2km S of Loma Linda, CA",earthquake,0.23,0.54,0.165,27,automatic,ci,ci
2016-05-22T07:53:31.580Z,38.7988319,-122.7363358,1.35,1.64,md,23,52,0.01558,0.04,nc,nc72638705,2016-05-22T09:43:02.770Z,"2km SSW of Cobb, California",earthquake,0.18,0.35,0.14,9,automatic,nc,nc
2016-05-22T07:43:27.190Z,38.7856674,-122.7478333,1.31,1.09,md,12,185,0.009015,0.02,nc,nc72638700,2016-05-22T08:07:03.530Z,"1km NE of The Geysers, California",earthquake,0.5,0.63,0.15,4,automatic,nc,nc
2016-05-22T07:38:31.530Z,32.601,-116.1435,5.2,1.88,ml,11,206,0.05677,0.3,ci,ci37572240,2016-05-22T07:42:56.370Z,"20km SW of Ocotillo, CA",earthquake,1.75,1.64,0.19,26,automatic,ci,ci
2016-05-22T07:31:39.991Z,38.633,-118.7635,8.7,1.1,ml,10,153.3,0.189,0.0948,nn,nn00545069,2016-05-22T12:16:11.646Z,"17km NW of Hawthorne, Nevada",earthquake,,4.1,0.12,7,reviewed,nn,nn
