time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-21T15:28:06.730Z,38.803833,-122.7801666,-0.4,1.34,md,16,61,0.009421,0.04,nc,nc72638395,2016-05-21T15:43:02.267Z,"3km NW of The Geysers, California",earthquake,0.18,0.59,0.03,5,automatic,nc,nc
2016-05-21T14:52:27.000Z,62.4636,-153.3477,0,2.1,ml,,,,0.64,ak,ak13599247,2016-05-21T15:51:56.382Z,"127km ESE of McGrath, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-05-21T14:47:21.050Z,34.9225,-119.0228333,15.73,1.9,ml,28,84,0.1489,0.21,ci,ci37571928,2016-05-21T15:35:38.435Z,"9km WSW of Grapevine, CA",earthquake,0.31,0.83,0.234,28,automatic,ci,ci
2016-05-21T14:46:06.070Z,36.5454,-97.0785,5.92,3,mb_lg,,78,0.241,0.24,us,us10005j4u,2016-05-21T15:49:50.564Z,"15km SSW of McCord, Oklahoma",earthquake,1.3,7.3,0.054,89,reviewed,us,us
2016-05-21T14:36:52.000Z,63.3963,-151.4308,3.6,1.1,ml,,,,0.76,ak,ak13599246,2016-05-21T15:51:53.344Z,"123km W of Cantwell, Alaska",earthquake,0.7,0.6,,,automatic,ak,ak
2016-05-21T14:34:39.340Z,37.6355019,-118.9410019,3.68,1.15,md,9,82,0.02363,0.01,nc,nc72638385,2016-05-21T14:54:03.068Z,"3km ESE of Mammoth Lakes, California",earthquake,0.61,2.35,0.24,8,automatic,nc,nc
2016-05-21T14:20:43.170Z,38.8413315,-122.8286667,1.39,0.91,md,14,81,0.005989,0.02,nc,nc72638380,2016-05-21T14:43:02.048Z,"9km WNW of Cobb, California",earthquake,0.28,0.4,0.11,5,automatic,nc,nc
2016-05-21T14:16:32.800Z,37.6365013,-118.9411697,3.72,0.72,md,6,135,0.02951,0.01,nc,nc72638375,2016-05-21T15:37:03.184Z,"3km ESE of Mammoth Lakes, California",earthquake,1.36,6,0.13,7,automatic,nc,nc
2016-05-21T14:13:54.000Z,65.7689,-147.807,0,1.1,ml,,,,0.46,ak,ak13599243,2016-05-21T15:51:52.601Z,"101km N of College, Alaska",earthquake,0.5,1.2,,,automatic,ak,ak
2016-05-21T14:01:39.050Z,33.9351667,-117.1871667,12.79,0.98,ml,19,101,0.01707,0.33,ci,ci37571912,2016-05-21T14:06:04.518Z,"4km ENE of Moreno Valley, CA",earthquake,0.86,1.3,0.263,26,automatic,ci,ci
2016-05-21T13:52:28.600Z,19.4831657,-155.4393311,6.22,1.88,md,39,48,0.04915,0.2,hv,hv61268326,2016-05-21T13:55:52.310Z,"21km WNW of Volcano, Hawaii",earthquake,0.34,1.17,0.2,15,automatic,hv,hv
2016-05-21T13:42:20.000Z,63.2491,-151.3611,3.9,1.4,ml,,,,0.74,ak,ak13599239,2016-05-21T14:41:57.533Z,"121km NNW of Talkeetna, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-05-21T13:26:46.000Z,62.9784,-149.5176,86.2,1.3,ml,,,,0.29,ak,ak13598976,2016-05-21T14:41:58.970Z,"54km SSW of Cantwell, Alaska",earthquake,0.6,0.8,,,automatic,ak,ak
2016-05-21T13:19:02.000Z,62.2234,-148.8529,25.3,1.8,ml,,,,0.55,ak,ak13598973,2016-05-21T14:41:58.233Z,"47km N of Sutton-Alpine, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-05-21T13:16:30.120Z,35.6988333,-118.0895,2.3,1.13,ml,18,76,0.1245,0.13,ci,ci37571888,2016-05-21T13:20:41.638Z,"26km WNW of Inyokern, CA",earthquake,0.3,0.7,0.154,13,automatic,ci,ci
2016-05-21T13:06:01.400Z,38.7766685,-122.7703323,0.37,0.92,md,7,124,0.02707,0.01,nc,nc72638335,2016-05-21T13:52:01.921Z,"1km W of The Geysers, California",earthquake,0.56,0.76,0.06,4,automatic,nc,nc
2016-05-21T13:04:02.320Z,36.0901667,-117.8471667,0.99,1.67,ml,19,84,0.08941,0.12,ci,ci37571880,2016-05-21T13:08:15.403Z,"10km ENE of Coso Junction, CA",earthquake,0.27,0.33,0.206,21,automatic,ci,ci
2016-05-21T12:31:50.540Z,38.746666,-122.7014999,1.23,0.99,md,7,219,0.02155,0.04,nc,nc72638330,2016-05-21T13:25:02.848Z,"5km SE of The Geysers, California",earthquake,0.65,1.03,0.1,4,automatic,nc,nc
2016-05-21T12:25:32.084Z,40.6545,-119.4928,7.7,1.1,ml,4,159.69,0.056,0.1402,nn,nn00544990,2016-05-21T13:35:16.356Z,"12km NW of Gerlach-Empire, Nevada",earthquake,,10.5,0.04,3,reviewed,nn,nn
2016-05-21T11:49:07.150Z,38.8146667,-122.8215027,2.98,0.56,md,7,110,0.008336,0.02,nc,nc72638320,2016-05-21T12:33:04.694Z,"7km NW of The Geysers, California",earthquake,0.59,1.05,,1,automatic,nc,nc
2016-05-21T11:44:57.470Z,34.4875,-118.7308333,13.47,1.15,ml,19,65,0.07098,0.35,ci,ci37571864,2016-05-21T11:49:24.509Z,"10km W of Castaic, CA",earthquake,0.79,2.07,0.12,23,automatic,ci,ci
2016-05-21T11:34:09.000Z,62.3725,-152.4855,145.2,4.4,ml,,,,0.54,ak,ak13598933,2016-05-21T13:33:37.730Z,"123km W of Talkeetna, Alaska",earthquake,0.4,0.4,,,reviewed,ak,ak
2016-05-21T11:14:49.080Z,15.0067,122.0514,40.01,4.8,mb,,101,9.454,0.65,us,us10005j4g,2016-05-21T11:52:53.612Z,"3km N of Carlagan, Philippines",earthquake,9.6,7.2,0.075,55,reviewed,us,us
