time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-24T02:37:57.570Z,33.5128333,-116.4885,14.14,0.65,ml,18,92,0.05696,0.18,ci,ci37573296,2016-05-24T02:42:16.546Z,"18km ESE of Anza, CA",earthquake,0.34,0.64,0.215,15,automatic,ci,ci
2016-05-24T02:30:46.900Z,34.1678333,-117.6348333,10.37,1.85,ml,19,109,0.06489,0.16,ci,ci37573288,2016-05-24T02:35:31.221Z,"7km NW of Rancho Cucamonga, CA",earthquake,0.39,0.72,0.224,22,automatic,ci,ci
2016-05-24T02:28:26.870Z,34.1696663,-117.6330032,10.48,3.45,ml,142,15,0.04902,0.21,ci,ci37573280,2016-05-24T02:58:16.549Z,"7km NW of Rancho Cucamonga, CA",earthquake,0.18,0.36,0.108,13,reviewed,ci,ci
2016-05-24T02:27:37.000Z,60.1546,-141.4557,0,1.5,ml,,,,0.82,ak,ak13605490,2016-05-24T02:34:48.683Z,"55km E of Cape Yakataga, Alaska",earthquake,0.4,56.7,,,automatic,ak,ak
2016-05-24T02:26:48.380Z,33.9283333,-116.7241667,12.67,1.01,ml,34,62,0.1124,0.17,ci,ci37573264,2016-05-24T02:31:04.385Z,"6km ENE of Cabazon, CA",earthquake,0.26,0.7,0.147,27,automatic,ci,ci
2016-05-24T02:13:44.070Z,46.781,-121.9286667,5.32,0.8,ml,8,240,0.07059,0.06,uw,uw61143132,2016-05-24T02:42:09.400Z,"27km ESE of Eatonville, Washington",earthquake,0.46,0.75,0.154,5,reviewed,uw,uw
2016-05-24T02:07:57.230Z,34.1695,-116.7111667,-0.54,1.11,ml,15,101,0.1408,0.36,ci,ci37573256,2016-05-24T02:12:08.683Z,"16km SE of Big Bear City, CA",earthquake,0.83,31.61,0.242,29,automatic,ci,ci
2016-05-24T01:59:46.470Z,33.498,-116.5231667,11.41,1.15,ml,39,86,0.0597,0.18,ci,ci37573248,2016-05-24T02:04:12.237Z,"15km ESE of Anza, CA",earthquake,0.24,0.4,0.148,27,automatic,ci,ci
2016-05-24T01:59:37.000Z,60.5142,-143.0772,3.8,1.3,ml,,,,0.62,ak,ak13605486,2016-05-24T02:10:26.401Z,"61km NW of Cape Yakataga, Alaska",earthquake,0.2,0.7,,,automatic,ak,ak
2016-05-24T01:58:13.450Z,33.4916667,-116.514,12.07,0.66,ml,26,73,0.06718,0.2,ci,ci37573240,2016-05-24T02:02:22.878Z,"16km ESE of Anza, CA",earthquake,0.32,0.6,0.143,21,automatic,ci,ci
2016-05-24T01:44:47.870Z,40.0873337,-123.9974976,21.42,2.21,md,17,141,0.03498,0.09,nc,nc72641331,2016-05-24T02:34:07.049Z,"15km WSW of Redway, California",earthquake,0.54,0.55,0.13,10,automatic,nc,nc
2016-05-24T01:44:45.000Z,64.7655,-146.7925,18,0.5,ml,,,,0.08,ak,ak13605484,2016-05-24T02:01:34.683Z,"16km NE of Eielson Air Force Base, Alaska",earthquake,0.5,0.2,,,automatic,ak,ak
2016-05-24T01:43:40.200Z,38.9973,-118.745,9,1.5,ml,12,102.45,0.386,,nn,nn00545282,2016-05-24T01:45:19.652Z,"36km E of Yerington, Nevada",earthquake,,,,,automatic,nn,nn
2016-05-24T01:42:45.000Z,60.2024,-141.0516,13.2,1.2,ml,,,,0.18,ak,ak13605482,2016-05-24T01:52:49.390Z,"78km ENE of Cape Yakataga, Alaska",earthquake,0.5,1,,,automatic,ak,ak
2016-05-24T01:40:04.390Z,38.8219986,-122.845665,1.77,1.04,md,15,62,0.01837,0.02,nc,nc72641326,2016-05-24T01:53:01.960Z,"9km WNW of The Geysers, California",earthquake,0.23,0.72,0.16,5,automatic,nc,nc
2016-05-24T01:39:35.600Z,38.8233337,-122.7799988,-0.23,0.53,md,8,98,0.01007,0.02,nc,nc72641321,2016-05-24T01:50:03.957Z,"4km W of Cobb, California",earthquake,0.33,1.2,0.03,2,automatic,nc,nc
