time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-05-26T00:27:41.400Z,37.4521675,-121.7746658,5.9,2.82,md,71,59,0.02054,0.06,nc,nc72641981,2016-05-26T00:48:21.631Z,"8km NNE of East Foothills, California",earthquake,0.11,0.37,0.13,83,automatic,nc,nc
2016-05-26T00:21:21.260Z,37.6148338,-122.4585037,5.13,1.53,md,7,102,0.02581,0.01,nc,nc72641966,2016-05-26T00:47:03.470Z,"2km E of Pacifica, California",earthquake,1.39,2.15,0.53,6,automatic,nc,nc
2016-05-26T00:08:01.890Z,-18.8168,-69.2828,127.26,4.6,mb,,76,0.524,0.8,us,us20005xze,2016-05-26T00:25:07.678Z,"74km SSE of Putre, Chile",earthquake,4.5,6.6,0.08,47,reviewed,us,us
2016-05-25T23:54:14.000Z,61.8808,-150.2071,13,1.4,ml,,,,0.48,ak,ak13606448,2016-05-26T00:07:38.434Z,"17km NNW of Willow, Alaska",earthquake,0.3,0.3,,,automatic,ak,ak
2016-05-25T23:50:21.000Z,63.22,-150.54,128.3,1.3,ml,,,,0.58,ak,ak13606398,2016-05-26T00:07:37.542Z,"81km WSW of Cantwell, Alaska",earthquake,0.6,0.9,,,automatic,ak,ak
2016-05-25T23:42:16.830Z,34.033,-118.298,11.06,1.44,ml,32,61,0.01685,0.26,ci,ci37575048,2016-05-25T23:59:29.910Z,"3km SW of MacArthur Park, CA",earthquake,0.34,0.45,0.149,15,reviewed,ci,ci
2016-05-25T23:23:43.200Z,38.6091652,-122.6811676,3.23,1.54,md,8,130,0.06735,0.07,nc,nc72641941,2016-05-25T23:53:03.368Z,"9km WNW of Calistoga, California",earthquake,1.24,7.01,0.13,7,automatic,nc,nc
2016-05-25T23:20:31.880Z,34.0258333,-117.2521667,14.67,0.95,ml,21,123,0.08156,0.11,ci,ci37575024,2016-05-25T23:46:08.274Z,"3km SSE of Loma Linda, CA",earthquake,0.22,0.5,0.103,11,reviewed,ci,ci
2016-05-25T23:01:21.030Z,29.3495,142.404,16.63,4.9,mb,,127,2.253,0.9,us,us20005xyl,2016-05-25T23:20:10.004Z,"251km N of Chichi-shima, Japan",earthquake,7.8,2.9,0.057,95,reviewed,us,us
2016-05-25T23:00:07.000Z,64.9586,-147.3382,0,1.2,ml,,,,0.37,ak,ak13606396,2016-05-25T23:09:18.905Z,"19km NNE of Badger, Alaska",earthquake,0.2,33.4,,,automatic,ak,ak
2016-05-25T22:45:02.000Z,59.9147,-153.2653,110,3.3,ml,,,,0.72,ak,ak13606382,2016-05-25T22:59:36.662Z,"69km SSW of Redoubt Volcano, Alaska",earthquake,0.3,0.4,,,automatic,ak,ak
2016-05-25T22:44:46.980Z,36.038,-117.7688333,2.1,0.35,ml,7,134,0.01309,0.05,ci,ci37574992,2016-05-25T23:41:32.084Z,"16km E of Coso Junction, CA",earthquake,0.23,0.14,0.138,3,reviewed,ci,ci
2016-05-25T22:43:58.254Z,39.2703,-120.375,5.7,0.6,ml,5,236.8,0.092,0.0559,nn,nn00545571,2016-05-26T00:01:46.944Z,"17km WSW of Truckee, California",earthquake,,6.8,0.44,3,reviewed,nn,nn
2016-05-25T22:30:15.770Z,33.7205,-117.4898333,0.34,0.21,ml,3,238,0.0854,0.03,ci,ci37574984,2016-05-26T00:05:24.962Z,"11km NE of Trabuco Canyon, CA",earthquake,0.38,3.73,0.03,2,reviewed,ci,ci
2016-05-25T22:28:42.800Z,37.6388333,-118.9486667,5.39,1.09,md,21,68,0.0234,0.04,nc,nc72641936,2016-05-26T00:11:02.394Z,"2km ESE of Mammoth Lakes, California",earthquake,0.3,0.39,0.293,17,reviewed,nc,nc
2016-05-25T22:21:19.426Z,39.2763,-120.3865,8.6,0.9,ml,14,184.12,0.091,0.1144,nn,nn00545553,2016-05-25T23:21:54.044Z,"18km WSW of Truckee, California",earthquake,,1.8,0.4,7,reviewed,nn,nn
2016-05-25T22:16:28.930Z,32.79,-115.4445,9.77,2.15,ml,29,59,0.0154,0.23,ci,ci37574960,2016-05-25T23:35:48.703Z,"6km WSW of Holtville, CA",earthquake,0.36,0.52,0.124,22,reviewed,ci,ci
2016-05-25T22:10:33.294Z,38.7935,-117.9015,8.7,1.2,ml,11,103.71,0.299,0.1182,nn,nn00545521,2016-05-25T22:29:21.627Z,"8km SSE of Gabbs, Nevada",earthquake,,3.8,0.35,4,reviewed,nn,nn
2016-05-25T22:10:26.760Z,36.7594,15.8061,9.98,4.1,mb,,72,1.499,0.86,us,us20005xya,2016-05-25T23:45:21.831Z,"59km SE of Siracusa, Italy",earthquake,5.8,5.5,0.151,12,reviewed,us,us
2016-05-25T22:04:28.000Z,60.8244,-151.97,98.1,2.6,ml,,,,0.63,ak,ak13606328,2016-05-25T22:25:13.275Z,"40km WNW of Nikiski, Alaska",earthquake,0.4,0.6,,,automatic,ak,ak
2016-05-25T21:54:59.513Z,40.6532,-119.4588,8.9,2.5,ml,8,77.91,0.054,0.1463,nn,nn00545510,2016-05-25T22:17:14.660Z,"10km NW of Gerlach-Empire, Nevada",earthquake,,5,0.42,5,reviewed,nn,nn
2016-05-25T21:45:05.980Z,36.7052,-115.5078,16.3,0.3,ml,4,170.35,0.346,0.0265,nn,nn00545507,2016-05-25T22:07:11.813Z,"65km NW of Nellis Air Force Base, Nevada",earthquake,,9.4,0.17,2,reviewed,nn,nn
2016-05-25T21:42:00.000Z,32.7875,-115.4478333,7.65,1.49,ml,9,144,0.01779,0.18,ci,ci37574928,2016-05-25T22:04:56.246Z,"7km WSW of Holtville, CA",earthquake,0.51,0.67,0.144,6,reviewed,ci,ci
2016-05-25T21:41:40.450Z,32.7955,-115.4405,13.2,1.58,ml,11,141,0.01113,0.31,ci,ci37140716,2016-05-25T22:05:06.654Z,"6km WSW of Holtville, CA",earthquake,1.12,1.23,0.234,10,reviewed,ci,ci
2016-05-25T21:31:46.240Z,37.6401667,-118.9278333,4.03,0.25,md,7,249,0.02286,0.02,nc,nc72641916,2016-05-25T22:18:03.088Z,"4km ESE of Mammoth Lakes, California",earthquake,1.6,31.61,0.143,6,reviewed,nc,nc
2016-05-25T21:25:13.130Z,32.79,-115.4536667,8.81,1.47,ml,12,164,0.01634,0.17,ci,ci37574920,2016-05-25T21:57:04.946Z,"7km WSW of Holtville, CA",earthquake,0.53,0.77,0.178,9,reviewed,ci,ci
2016-05-25T21:23:43.960Z,37.6386667,-118.9456667,5.2,0.44,md,16,71,0.02425,0.04,nc,nc72641901,2016-05-25T22:07:03.047Z,"2km ESE of Mammoth Lakes, California",earthquake,0.35,0.26,0.349,14,reviewed,nc,nc
2016-05-25T21:18:54.060Z,38.8100014,-122.7976685,1.49,1.01,md,16,77,0.002746,0.04,nc,nc72641891,2016-05-25T21:35:02.943Z,"5km NW of The Geysers, California",earthquake,0.25,0.44,0.01,4,automatic,nc,nc
2016-05-25T21:16:53.730Z,37.647,-118.9513333,4.13,0.32,md,15,53,0.02111,0.06,nc,nc72641896,2016-05-26T00:25:03.425Z,"1km E of Mammoth Lakes, California",earthquake,0.27,0.65,0.245,12,reviewed,nc,nc
2016-05-25T20:50:24.000Z,60.32,-140.9857,0,1.2,ml,,,,0.93,ak,ak13606325,2016-05-25T21:02:05.148Z,"84km ENE of Cape Yakataga, Alaska",earthquake,0.5,0.6,,,automatic,ak,ak
2016-05-25T20:32:23.960Z,45.3271667,-121.7108333,0.52,0.85,ml,5,131,0.00856,0.11,uw,uw61144212,2016-05-25T20:48:29.960Z,"21km E of Mount Hood Village, Oregon",earthquake,0.45,0.49,0.139,3,reviewed,uw,uw
2016-05-25T20:32:18.680Z,32.925,-115.5296667,5.62,1.7,ml,13,84,0.03511,0.17,ci,ci37574872,2016-05-25T21:42:35.271Z,"6km S of Brawley, CA",earthquake,0.42,0.57,0.226,13,reviewed,ci,ci
2016-05-25T20:25:38.855Z,36.7037,-116.288,5,0.6,ml,23,78.91,0.065,0.1164,nn,nn00545484,2016-05-25T21:05:54.948Z,"47km ESE of Beatty, Nevada",earthquake,,1.3,0.19,15,reviewed,nn,nn
2016-05-25T20:17:36.320Z,34.8578333,-118.7803333,-1.3,1.13,ml,8,116,0.0809,0.16,ci,ci37574864,2016-05-25T21:07:33.050Z,"8km ENE of Lebec, CA",quarry blast,0.53,31.61,0.039,3,reviewed,ci,ci
2016-05-25T20:12:00.520Z,38.8445015,-122.8251648,1.68,1.05,md,24,77,0.009992,0.04,nc,nc72641881,2016-05-25T20:32:02.798Z,"9km WNW of Cobb, California",earthquake,0.22,0.36,0.09,6,automatic,nc,nc
2016-05-25T20:11:22.280Z,37.6395,-118.9446667,5,0.38,md,15,70,0.02535,0.04,nc,nc72641886,2016-05-25T22:54:02.198Z,"2km ESE of Mammoth Lakes, California",earthquake,0.34,0.32,0.285,13,reviewed,nc,nc
2016-05-25T19:50:07.270Z,46.3755,-122.3818333,19.87,0.8,ml,9,187,0.07535,0.15,uw,uw61144177,2016-05-25T20:12:59.370Z,"21km SSW of Morton, Washington",earthquake,0.62,1.06,0.178,10,reviewed,uw,uw
2016-05-25T19:47:28.000Z,62.7448,-148.9807,57.1,2.3,ml,,,,0.52,ak,ak13606316,2016-05-25T20:04:18.040Z,"71km NE of Talkeetna, Alaska",earthquake,0.3,0.6,,,automatic,ak,ak
2016-05-25T19:36:10.620Z,44.8006667,-111.5053333,9.81,0.31,ml,10,115,0.061,0.08,mb,mb80149219,2016-05-25T20:41:10.300Z,"35km WNW of West Yellowstone, Montana",earthquake,1.23,1.43,0.197,3,reviewed,mb,mb
2016-05-25T19:34:48.380Z,37.6471667,-118.9373333,3.89,0.26,md,14,74,0.01894,0.02,nc,nc72641866,2016-05-25T20:49:02.853Z,"3km E of Mammoth Lakes, California",earthquake,0.39,0.6,0.238,12,reviewed,nc,nc
2016-05-25T19:28:43.040Z,37.6246667,-118.9336667,8.81,0.56,md,18,89,0.01924,0.08,nc,nc72641846,2016-05-25T21:16:02.904Z,"4km SE of Mammoth Lakes, California",earthquake,0.44,1.12,0.367,15,reviewed,nc,nc
2016-05-25T19:23:40.996Z,40.6468,-119.4587,7,0.9,ml,5,183.02,0.061,0.1683,nn,nn00545540,2016-05-25T22:47:53.412Z,"9km NW of Gerlach-Empire, Nevada",earthquake,,18.1,0.46,4,reviewed,nn,nn
2016-05-25T19:20:33.730Z,45.9378333,-122.9458333,25.26,1.44,ml,10,142,0.152,0.11,uw,uw61144147,2016-05-25T20:15:38.280Z,"11km SW of Kalama, Washington",earthquake,0.79,1.15,0.122,20,reviewed,uw,uw
2016-05-25T19:15:47.300Z,18.1226,-66.7173,23,2.1,Md,14,100.8,0.12845909,0.17,pr,pr16146029,2016-05-25T19:36:40.586Z,"7km N of Penuelas, Puerto Rico",earthquake,0.3,0.6,0,12,reviewed,pr,pr
2016-05-25T19:15:42.540Z,37.6418333,-118.9451667,4.73,0.37,md,13,65,0.02454,0.04,nc,nc72641836,2016-05-25T21:04:03.879Z,"2km ESE of Mammoth Lakes, California",earthquake,0.48,0.65,0.264,11,reviewed,nc,nc
2016-05-25T19:11:46.200Z,38.7888336,-122.7460022,0.37,0.37,md,7,93,0.009154,0.01,nc,nc72641831,2016-05-25T19:48:02.715Z,"1km NE of The Geysers, California",earthquake,0.32,1.64,0.29,3,automatic,nc,nc
2016-05-25T19:10:43.420Z,46.0225,-112.4768333,-2,1.85,ml,5,157,0.201,0.12,mb,mb80149214,2016-05-25T20:36:07.930Z,"4km ENE of Butte, Montana",quarry blast,0.85,31.61,0.287,5,reviewed,mb,mb
2016-05-25T19:10:19.160Z,8.79,126.4639,50.58,4.9,mb,,83,1.92,0.88,us,us20005xwb,2016-05-25T20:16:54.825Z,"18km E of Marihatag, Philippines",earthquake,7.5,5.6,0.043,173,reviewed,us,us
2016-05-25T19:09:30.090Z,37.6399994,-118.9440002,5.5,1.88,md,26,66,0.02605,0.04,nc,nc72641826,2016-05-25T21:30:03.934Z,"2km ESE of Mammoth Lakes, California",earthquake,0.3,0.44,0.25,22,automatic,nc,nc
2016-05-25T19:03:40.450Z,19.3303333,-155.165,7.187,2.27,md,47,88,0.04902,0.08,hv,hv61273091,2016-05-25T19:55:02.040Z,"13km SE of Volcano, Hawaii",earthquake,0.36,0.71,0.121,17,reviewed,hv,hv
2016-05-25T19:00:05.740Z,19.326,-155.1651667,5.007,0.8,md,14,93,0.05249,0.07,hv,hv61273086,2016-05-25T19:42:23.470Z,"13km SSE of Volcano, Hawaii",earthquake,0.46,2.5,0.012,5,reviewed,hv,hv
2016-05-25T18:59:51.310Z,38.8213348,-122.841835,1.84,1.1,md,18,138,0.005605,0.01,nc,nc72641821,2016-05-25T21:03:04.879Z,"8km WNW of The Geysers, California",earthquake,0.26,0.41,0.08,5,automatic,nc,nc
2016-05-25T18:49:39.510Z,41.0865,-121.8928333,3.66,1.68,md,18,58,0.2551,0.06,nc,nc72641816,2016-05-25T21:56:07.004Z,"27km SE of McCloud, California",earthquake,0.26,31.61,0.061,4,reviewed,nc,nc
2016-05-25T18:45:48.730Z,33.8203333,-117.4851667,-0.57,1.49,ml,42,61,0.03356,0.23,ci,ci37574736,2016-05-25T20:21:40.960Z,"7km SSE of Home Gardens, CA",quarry blast,0.34,31.61,0.156,54,reviewed,ci,ci
2016-05-25T18:27:19.000Z,60.1081,-150.6738,52,3.1,ml,103,97.1999922240006,0.367411,0.67,ak,ak13606258,2016-05-25T20:01:06.496Z,"46km S of Sterling, Alaska",earthquake,0.3,0.6,,3,automatic,ak,ak
2016-05-25T18:23:10.990Z,36.4143,-97.7828,5,2.7,mb_lg,,32,0.185,0.39,us,us20005xvt,2016-05-25T19:05:08.931Z,"8km ENE of Enid, Oklahoma",earthquake,1.4,2,0.098,27,reviewed,us,us
