time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-04-14T21:16:33.849Z,41.8739,-119.6379,8.9,1.8,ml,5,220.9,0.142,0.197,nn,nn00540572,2016-04-14T21:44:45.971Z,"68km ESE of Lakeview, Oregon",earthquake,,4.2,0.26,3,reviewed,nn,nn
2016-04-14T20:59:30.250Z,33.4978333,-116.9056667,14.7,1.2,ml,35,41,0.1404,0.23,ci,ci37549832,2016-04-14T21:04:28.569Z,"7km NNW of Aguanga, CA",earthquake,0.28,0.54,0.196,28,automatic,ci,ci
2016-04-14T20:51:00.350Z,38.8223343,-122.8431702,2.06,1.32,md,22,81,0.006406,0.02,nc,nc72622300,2016-04-14T21:23:05.085Z,"9km WNW of The Geysers, California",earthquake,0.23,0.35,0.08,8,automatic,nc,nc
2016-04-14T20:49:22.928Z,38.4861,-118.3028,8.4,0.8,ml,4,165.07,0.057,0.1604,nn,nn00540563,2016-04-14T21:23:16.157Z,"28km E of Hawthorne, Nevada",earthquake,,7.9,0.15,2,reviewed,nn,nn
2016-04-14T20:41:47.330Z,34.0411667,-117.225,12.93,1.14,ml,29,65,0.1337,0.26,ci,ci37549816,2016-04-14T20:46:29.177Z,"3km ESE of Loma Linda, CA",earthquake,0.47,1.31,0.185,29,automatic,ci,ci
2016-04-14T20:18:10.300Z,38.8111649,-122.829834,2.12,0.46,md,9,78,0.00235,0.02,nc,nc72622290,2016-04-14T21:10:06.052Z,"7km WNW of The Geysers, California",earthquake,0.45,0.69,0.12,2,automatic,nc,nc
2016-04-14T20:15:29.301Z,37.7479,-117.7327,0,1.3,ml,6,231.3,0.425,0.1339,nn,nn00540556,2016-04-14T20:34:08.163Z,"44km W of Goldfield, Nevada",earthquake,,0,0.26,4,reviewed,nn,nn
2016-04-14T20:12:40.620Z,37.7548332,-122.0568314,11.64,1.94,md,32,43,0.0181,0.08,nc,nc72622285,2016-04-14T20:58:05.010Z,"7km WSW of San Ramon, California",earthquake,0.26,0.47,0.2,29,automatic,nc,nc
2016-04-14T20:10:37.420Z,32.7543,130.6936,10,4.7,mb,,101,0.4,0.72,us,us20005i51,2016-04-14T21:19:02.779Z,"5km SW of Kumamoto-shi, Japan",earthquake,5.9,1.9,0.069,64,reviewed,us,us
2016-04-14T19:40:40.480Z,-6.7912,129.2936,169.84,4.3,mb,,191,2.314,0.99,us,us20005i4e,2016-04-14T21:07:40.019Z,"257km WNW of Saumlaki, Indonesia",earthquake,10.3,13.5,0.177,9,reviewed,us,us
2016-04-14T19:24:40.690Z,33.8568333,-117.4908333,-0.53,0.86,ml,28,64,0.05477,0.24,ci,ci37549776,2016-04-14T20:29:51.170Z,"4km SE of Home Gardens, CA",quarry blast,0.51,31.61,0.127,11,reviewed,ci,ci
2016-04-14T19:17:01.570Z,34.3403333,-116.8895,-1.35,1.37,ml,45,63,0.0519,0.21,ci,ci37549768,2016-04-14T20:23:35.825Z,"10km NNW of Big Bear City, CA",quarry blast,0.34,31.61,0.146,25,reviewed,ci,ci
2016-04-14T18:53:14.760Z,38.8154984,-122.8191681,2.14,1.05,md,22,75,0.01025,0.03,nc,nc72622275,2016-04-14T21:22:07.086Z,"6km NW of The Geysers, California",earthquake,0.2,0.43,0.15,5,automatic,nc,nc
2016-04-14T18:41:43.900Z,18.9705,-65.1364,29,2.7,Md,6,259.2,0.63870217,0.1,pr,pr16105044,2016-04-14T21:20:43.040Z,"72km NNW of Charlotte Amalie, U.S. Virgin Islands",earthquake,1.7,8.7,0,5,reviewed,pr,pr
2016-04-14T18:39:51.850Z,37.6166667,-122.461,6.18,1.17,md,8,104,0.02324,0.03,nc,nc72622265,2016-04-14T21:48:23.363Z,"2km E of Pacifica, California",earthquake,1.2,1.28,0.08,3,reviewed,nc,nc
2016-04-14T18:33:53.000Z,62.6184,-149.53,61,1.6,ml,,,,0.26,ak,ak13438667,2016-04-14T18:46:55.775Z,"44km NE of Talkeetna, Alaska",earthquake,0.4,0.6,,,automatic,ak,ak
2016-04-14T18:33:08.570Z,33.6955,-116.7233333,15.79,0.8,ml,22,72,0.02086,0.21,ci,ci37549760,2016-04-14T18:40:40.928Z,"5km S of Idyllwild, CA",earthquake,0.54,0.79,0.117,22,reviewed,ci,ci
